travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
6.7,487,AV,1,0,5,898,4.25805152979066,"0,0,0,0"
4.7,664,AV,3,4,12,1220,4.25805152979066,"0,0,0,0"
3.35,32,AV,3,0,12,80,4.25805152979066,"0,0,0,0"
2.533333333333333,357,AV,0,0,3,680,4.25805152979066,"0,0,0,0"
6.75,546,AV,3,11,5,1002,4.25805152979066,"0,0,0,0"
5.866666666666666,108,AV,1,4,20,213,4.25805152979066,"0,0,0,0"
6.583333333333333,261,AV,0,11,2,453,4.25805152979066,"0,0,0,0"
4.483333333333333,869,AV,3,17,5,1501,4.25805152979066,"0,0,0,0"
4.566666666666666,234,AV,0,4,20,402,4.25805152979066,"0,0,0,0"
4.416666666666667,132,AV,1,11,3,248,4.25805152979066,"0,0,0,0"
5.8,985,AV,2,16,10,1684,4.25805152979066,"0,0,0,0"
5.9,928,AV,1,16,9,1596,4.25805152979066,"0,0,0,0"
4.266666666666667,805,AV,2,7,9,1419,4.25805152979066,"0,0,0,0"
3.9,376,AV,0,7,9,707,4.25805152979066,"0,0,0,0"
7.633333333333334,533,AV,2,0,2,974,4.25805152979066,"0,0,0,0"
3.0,617,AV,1,4,85,1126,4.25805152979066,"0,0,0,0"
3.683333333333333,113,AV,0,7,4,225,4.25805152979066,"0,0,0,0"
4.95,470,AV,1,1,1,876,4.25805152979066,"0,0,0,0"
3.533333333333333,525,AV,1,1,75,959,4.25805152979066,"0,0,0,0"
3.6333333333333333,230,AV,1,4,4,398,4.25805152979066,"0,0,0,0"
3.066666666666667,988,AV,1,124,10,1690,4.25805152979066,"0,0,0,0"
7.35,644,AV,1,11,2,1175,4.25805152979066,"0,0,0,0"
4.133333333333334,45,AV,1,11,3,94,4.25805152979066,"0,0,0,0"
4.0,762,AV,3,8,2,1378,4.25805152979066,"0,0,0,0"
4.683333333333334,822,AV,1,11,20,1436,4.25805152979066,"0,0,0,0"
4.166666666666667,953,AV,1,118,10,1622,4.25805152979066,"0,0,0,0"
6.533333333333333,909,AV,3,4,3,1566,4.25805152979066,"0,0,0,0"
6.55,692,AV,0,0,2,1258,4.25805152979066,"0,0,0,0"
4.666666666666667,548,AV,2,83,1,1003,4.25805152979066,"0,0,0,0"
4.683333333333334,316,AV,1,0,2,565,4.25805152979066,"0,0,0,0"
3.0166666666666666,481,AV,2,0,4,895,4.25805152979066,"0,0,0,0"
3.183333333333333,679,AV,2,0,12,1241,4.25805152979066,"0,0,0,0"
6.3,1019,AV,0,4,3,1757,4.25805152979066,"0,0,0,0"
5.733333333333333,31,AV,0,11,3,79,4.25805152979066,"0,0,0,0"
4.683333333333334,65,AV,1,7,9,139,4.25805152979066,"0,0,0,0"
6.533333333333333,506,AV,0,0,5,920,4.25805152979066,"0,0,0,0"
7.25,897,AV,1,24,1,1549,4.25805152979066,"0,0,0,0"
8.55,424,AV,3,0,5,796,4.25805152979066,"0,0,0,0"
5.816666666666666,450,AV,2,17,5,851,4.25805152979066,"0,0,0,0"
5.05,730,AV,1,7,9,1320,4.25805152979066,"0,0,0,0"
4.833333333333333,116,AV,1,7,9,228,4.25805152979066,"0,0,0,0"
7.383333333333334,522,AV,2,1,10,955,4.25805152979066,"0,0,0,0"
5.3,760,AV,0,8,9,1376,4.25805152979066,"0,0,0,0"
4.183333333333334,971,AV,1,8,98,1662,4.25805152979066,"0,0,0,0"
3.183333333333333,471,AV,2,4,4,877,4.25805152979066,"0,0,0,0"
7.1,79,AV,1,4,18,160,4.25805152979066,"0,0,0,0"
5.883333333333334,962,AV,3,4,104,1648,4.25805152979066,"0,0,0,0"
4.266666666666667,87,AV,1,11,3,178,4.25805152979066,"0,0,0,0"
1.8166666666666667,343,AV,0,57,15,653,4.25805152979066,"0,0,0,0"
4.666666666666667,653,AV,2,11,2,1202,4.25805152979066,"0,0,0,0"
6.683333333333334,161,AV,3,4,3,296,4.25805152979066,"0,0,0,0"
5.816666666666666,71,AV,1,8,9,149,4.25805152979066,"0,0,0,0"
3.85,140,AV,0,4,24,265,4.25805152979066,"0,0,0,0"
5.183333333333334,297,AV,1,17,5,525,4.25805152979066,"0,0,0,0"
6.083333333333333,676,AV,1,4,3,1236,4.25805152979066,"0,0,0,0"
4.816666666666666,687,AV,2,11,3,1245,4.25805152979066,"0,0,0,0"
5.633333333333334,633,AV,2,16,9,1158,4.25805152979066,"0,0,0,0"
5.05,594,AV,0,4,2,1084,4.25805152979066,"0,0,0,0"
4.016666666666667,775,AV,3,11,20,1388,4.25805152979066,"0,0,0,0"
7.566666666666666,351,AV,3,8,10,676,4.25805152979066,"0,0,0,0"
5.7,412,AV,0,1,10,780,4.25805152979066,"0,0,0,0"
5.416666666666667,650,AV,0,11,3,1194,4.25805152979066,"0,0,0,0"
5.9,578,AV,3,86,3,1061,4.25805152979066,"0,0,0,0"
5.25,319,AV,2,8,48,578,4.25805152979066,"0,0,0,0"
9.4,494,AV,2,0,5,903,4.25805152979066,"0,0,0,0"
6.283333333333333,554,AV,1,0,2,1009,4.25805152979066,"0,0,0,0"
7.366666666666666,665,AV,3,6,5,1221,4.25805152979066,"0,0,0,0"
5.016666666666667,466,AV,3,1,1,870,4.25805152979066,"0,0,0,0"
6.033333333333333,109,AV,0,1,10,220,4.25805152979066,"0,0,0,0"
5.4,872,AV,2,17,5,1505,4.25805152979066,"0,0,0,0"
6.05,774,AV,0,0,2,1386,4.25805152979066,"0,0,0,0"
5.366666666666666,128,AV,0,16,10,245,4.25805152979066,"0,0,0,0"
4.516666666666667,939,AV,2,11,20,1608,4.25805152979066,"0,0,0,0"
0.9666666666666667,724,AV,0,8,2,1316,4.25805152979066,"0,0,0,0"
