episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,300,200,92.45,8832.4
210,0,158,91.85,8165.399999999998
215,0,152,91.32000000000001,8221.400000000001
220,0,151,94.02,9646.399999999996
225,0,149,90.01,7389.4
230,0,155,92.86,9134.399999999998
235,0,145,94.02000000000001,9226.399999999996
240,0,146,94.72,9683.399999999996
245,0,144,91.49,8728.4
250,0,157,92.6,8931.399999999998
255,0,145,93.14999999999999,9240.4
260,0,150,92.6,8874.400000000001
265,0,149,92.34,9053.399999999998
270,0,152,93.26,9053.399999999998
275,0,146,90.23,7255.4
280,0,150,90.69,7409.4000000000015
285,0,151,91.22,8603.400000000001
290,0,139,92.5,9153.399999999998
295,0,150,92.31,8437.400000000003
300,0,146,92.82000000000001,9455.399999999998
305,0,154,92.17999999999999,8129.399999999999
310,0,154,93.04,9098.399999999998
315,0,151,89.95,7622.400000000001
320,0,151,92.71000000000001,8725.400000000001
