episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,200,300,96.31,13106.400000000001
210,20,230,93.03,11456.400000000001
215,19,229,95.9,13264.400000000003
220,20,222,94.66,11895.4
225,10,222,94.18,11752.4
230,5,233,96.73,12685.4
235,11,239,92.47,11303.400000000001
240,13,227,95.25,13231.400000000001
245,9,230,94.2,11649.400000000001
250,9,219,93.99,11818.400000000003
255,5,218,92.09,10890.400000000001
260,6,227,94.59,12797.400000000001
265,5,231,94.0,12212.400000000001
270,2,238,93.72,11719.400000000001
275,0,225,92.3,10826.4
280,5,217,94.75999999999999,12413.400000000001
285,6,220,93.07,11758.400000000001
290,2,235,90.77,9640.400000000001
295,2,216,92.21000000000001,10962.400000000003
300,2,232,97.15,13530.400000000001
305,3,213,94.06,11567.400000000001
310,4,225,92.62,11257.400000000001
315,1,232,93.29,10908.400000000003
320,1,216,94.82000000000001,12669.400000000001
