travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.033333333333333,0,Human,0,0,0,5,-8.033333333333333,"-8.042662094942193,-8.060979424434914,-8.192218362714293,-8.254003539580143"
4.233333333333333,1,Human,1,1,1,5,-4.233333333333333,"-4.315424714483965,-4.238049458650391,-4.247813630036411,-4.305444146337505"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6457077358857466,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.15,3,Human,3,0,3,11,-3.15,"-3.148247072907259,-3.191260007502523,-3.1634016312268938,-3.1483500172343555"
3.1,4,Human,0,3,3,11,-3.1,"-3.099995154492526,-3.1336705807086247,-3.1461428295925673,-3.163506290660253"
5.45,5,Human,1,4,3,12,-5.45,"-5.455822050931876,-5.407625334877767,-5.459209951090819,-5.461936952963339"
2.55,6,Human,2,4,4,13,-2.55,"-2.549999746279192,-2.608908923052675,-2.549999773072333,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.332904820287721,-5.299202274153931,-5.341953085646071,-5.33789880499455"
5.433333333333334,8,Human,1,4,3,17,-5.433333333333334,"-5.610397328840292,-5.4447345069834725,-5.639558129669766,-5.484157235684863"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.483333333333333,-2.485682278895476,-2.6023028178355574,-2.5386845827517477"
5.116666666666666,10,Human,1,4,3,26,-5.116666666666666,"-5.2657310176210546,-5.196495089303859,-5.262096565112738,-5.243662029763188"
5.2,11,Human,1,4,3,28,-5.2,"-5.246453329738899,-5.217425046168297,-5.244215549655317,-5.25131360150498"
2.8833333333333333,12,Human,0,0,3,30,-2.8833333333333333,"-2.883217268832812,-2.9883730651917064,-3.002445894323359,-2.8832099072271666"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.566712494630922,-4.676136501079914,-4.717364025560224,-4.825878857691385"
4.233333333333333,14,Human,1,1,1,33,-4.233333333333333,"-4.266620324405738,-4.256824162103827,-4.277747974137997,-4.265966913014061"
5.016666666666667,15,Human,1,4,3,37,-5.016666666666667,"-5.090343463072235,-5.014823199646086,-5.123830129669766,-5.039254835684864"
0.8666666666666667,16,Human,0,7,6,39,-0.8666666666666667,"-0.8716221994040594,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.6833333333333333,17,Human,0,8,7,55,-1.6833333333333333,"-1.6907522424158816,-1.850020598016024,-1.759112963543949,-2.4700871133190496"
1.9,18,Human,0,9,8,56,-1.9,"-1.9074354236994067,-2.2914863789314124,-1.9407669544709805,-2.027528439451463"
4.133333333333334,19,Human,0,8,9,57,-4.133333333333334,"-4.12179539166267,-4.200888824002229,-4.161342781835557,-4.158425642338768"
4.633333333333334,20,Human,1,4,3,57,-4.633333333333334,"-4.701241596405566,-4.629178242566265,-4.6787474630031,-4.73482454460608"
2.8,21,Human,0,10,5,58,-2.8,"-2.7811227127313383,-2.9592442633842597,-2.94573291617583,-2.907190793610461"
3.2666666666666666,22,Human,1,11,4,60,-3.2666666666666666,"-3.260110029925545,-3.2573924482394756,-3.509711212501158,-3.2671918666098643"
4.1,23,Human,0,7,9,61,-4.1,"-4.10643984419359,-4.155777740093498,-4.1098374462627305,-4.238544080940725"
4.216666666666667,24,Human,0,12,10,69,-4.216666666666667,"-4.204594577695344,-4.4684648129774045,-4.809773827758659,-4.478973050323734"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.8340376343927427,-3.0853057565718864,-2.9147564857476467"
2.4,26,Human,0,13,11,72,-2.4,"-2.4007288605841586,-2.470882774996247,-2.4466839855988476,-2.4754732302560196"
4.4,27,Human,1,11,3,73,-4.4,"-4.425697218253868,-4.41095029779673,-4.4927463922507815,-4.46278740524979"
4.316666666666666,28,Human,1,11,3,75,-4.316666666666666,"-4.368274998349143,-4.3170817941850155,-4.372898384373833,-4.335180028258918"
3.9166666666666665,29,Human,2,11,2,77,-3.9166666666666665,"-4.43202007775378,-4.36784031577597,-4.058325550785868,-4.3853315487289235"
4.433333333333334,30,Human,1,4,3,77,-4.433333333333334,"-4.55930332771703,-4.466538084636058,-4.732920995420541,-4.5054906807576"
4.45,31,Human,1,11,3,79,-4.45,"-4.499970041269761,-4.282525924960318,-4.477954571225179,-4.4857509232289035"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5824550054556061,-1.41700553367533,-1.7353931820616333,-1.713404386543426"
4.383333333333334,33,Human,1,4,3,81,-4.383333333333334,"-4.407462492979621,-4.380283648133521,-4.446438129669766,-4.439890680757599"
3.4,34,Human,2,13,4,82,-3.4,"-3.4715486004336937,-3.4475044227626253,-3.4083700090719478,-3.525308835931781"
2.3,35,Human,0,14,3,82,-2.3,"-2.28838310343781,-2.349338905525638,-2.3433056546163322,-2.4998095825803324"
4.383333333333334,36,Human,1,11,3,82,-4.383333333333334,"-4.438310236855002,-4.3996248365639605,-4.463447904558512,-4.437784738583123"
5.116666666666666,37,Human,1,0,2,82,-5.116666666666666,"-5.357103531840382,-5.115969813149043,-5.259265210619106,-5.170349485479862"
4.283333333333333,38,Human,1,4,3,83,-4.283333333333333,"-4.371996661050364,-4.275664333941518,-4.334947662087209,-4.331187211272746"
4.333333333333333,39,Human,1,4,3,86,-4.333333333333333,"-4.385195826312955,-4.334069623963049,-4.427284577609011,-4.379830017613665"
1.9666666666666666,40,Human,3,0,3,88,-1.9666666666666666,"-2.226049399443728,-2.2557912476953743,-2.277780043213581,-1.9612022478460744"
4.316666666666666,41,Human,1,11,3,89,-4.316666666666666,"-4.579243570188336,-4.324344506994427,-4.34580988069814,-4.558364256562236"
4.3,42,Human,1,11,3,91,-4.3,"-4.344121129402085,-4.30566279888607,-4.3555432140314725,-4.58161758989557"
6.516666666666667,43,Human,0,11,2,92,-6.516666666666667,"-6.5281678990848135,-6.685446140620777,-6.536139762503307,-6.536234260132121"
4.05,44,Human,1,4,3,93,-4.05,"-4.187330662173625,-4.114016545226571,-4.198256637069147,-4.178435211272746"
