travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
1.7833333333333334,0,Human,3,0,0,70,-1.7833333333333334,"-1.6250817418400043,-1.983495961379512,-1.9721714315675871,-1.604433080313479"
1.3333333333333333,1,Human,2,1,1,569,-1.3333333333333333,"-0.794383899909856,-0.8202882448875878,-0.8782105671642306,-1.15532225849303"
1.8833333333333333,2,Human,0,2,2,1548,-1.8833333333333333,"-1.7075180460434387,-2.574181739422517,-1.7794512932872288,-3.0472335500748353"
1.5833333333333333,3,Human,0,3,3,850,-1.5833333333333333,"-1.39133471940252,-2.4360866736903546,-2.40289339637943,-1.3976748787347912"
3.3333333333333335,4,Human,1,4,4,1175,-3.3333333333333335,"-2.007355883807807,-2.178136475612564,-2.141101661686993,-2.249561350818225"
1.8333333333333333,5,Human,3,5,5,154,-1.8333333333333333,"-1.281464235975168,-1.255204987682618,-1.3265896279318063,-1.3644762440613394"
7.383333333333334,6,Human,0,6,6,637,-7.383333333333334,"-5.574418437785481,-5.147893732006841,-5.18138551316855,-5.335063715911131"
4.6,7,Human,3,7,7,1679,-4.6,"-4.006707735938147,-3.9824658531519157,-4.334491780873615,-4.013546228858713"
5.4,8,Human,2,8,8,271,-5.4,"-4.076325444504656,-3.812508257442645,-4.097136687360329,-4.144248121134703"
3.533333333333333,9,Human,0,9,9,131,-3.533333333333333,"-2.843556829926215,-2.865479198873794,-4.10445210458284,-2.7459171197211836"
3.65,10,Human,0,10,10,360,-3.65,"-2.5668573442190814,-2.328238940266402,-2.349524113803059,-2.3130338085376843"
3.25,11,Human,0,11,11,1541,-3.25,"-2.592734499267333,-3.0053902136394126,-2.619141495211859,-2.5319731460929695"
3.2,12,Human,0,12,12,1197,-3.2,"-2.9249937643595962,-2.899976560818713,-6.477291190054137,-3.647989908706464"
2.933333333333333,13,Human,3,13,13,1317,-2.933333333333333,"-2.1510246488804303,-2.238034470807762,-2.210730915836457,-2.3068643417050048"
2.55,14,Human,0,14,5,1526,-2.55,"-2.083587518693583,-1.9802561082028203,-2.025405713041156,-1.9743538480907121"
2.9166666666666665,15,Human,0,15,5,852,-2.9166666666666665,"-2.0266805429155106,-1.864227208521998,-2.0664326320881123,-1.9521585740127585"
3.95,16,Human,3,16,14,595,-3.95,"-2.7630968758993877,-2.6650833430564456,-2.5260302047384835,-2.7982349311214767"
3.15,17,Human,3,17,15,1745,-3.15,"-2.5168662523324667,-2.9253631186095745,-2.8921698412986503,-2.61689804388278"
6.25,18,Human,1,18,16,257,-6.25,"-4.965341327315664,-5.1484624692209495,-5.0312063561205616,-5.216487450271686"
5.983333333333333,19,Human,2,19,17,476,-5.983333333333333,"-4.701939419396268,-4.7850225763451535,-4.874779764173489,-4.677391195499078"
2.45,20,Human,0,20,18,810,-2.45,"-2.0448203281312525,-2.080044910050351,-2.0142432973189277,-1.954583748546215"
5.466666666666667,21,Human,2,21,15,1026,-5.466666666666667,"-3.5337915179310384,-3.395645619398839,-3.6954536831280835,-4.925599616915307"
5.083333333333333,22,Human,3,22,19,1539,-5.083333333333333,"-4.543112315336502,-4.5058686178575105,-5.11042154802886,-4.5812493377480585"
5.9,23,Human,2,23,5,1235,-5.9,"-5.127011571493927,-5.271609223735177,-5.2815782357196035,-5.282933753547102"
6.166666666666667,24,Human,1,24,20,1283,-6.166666666666667,"-5.342990155025293,-5.478481759874577,-5.370000959347022,-5.4764035203714325"
3.6166666666666667,25,Human,1,14,18,1571,-3.6166666666666667,"-3.1511498750688185,-3.2245916087385282,-3.4759363356573725,-3.439921929895067"
2.8666666666666667,26,Human,0,25,21,958,-2.8666666666666667,"-2.1688435547004983,-2.2136414364161796,-2.0891921923557044,-2.141134475388428"
1.4666666666666666,27,Human,0,26,2,853,-1.4666666666666666,"-1.1754693558344864,-1.1331960285914222,-1.2086061926570484,-1.150368307438166"
2.433333333333333,28,Human,0,27,22,1518,-2.433333333333333,"-2.102196200582465,-2.044081621129373,-2.142271048664246,-2.483857531493519"
1.3666666666666667,29,Human,1,28,23,1411,-1.3666666666666667,"-1.240964722822174,-1.1488352407007443,-1.6664266858651309,-1.8971322294216464"
2.216666666666667,30,Human,1,29,24,15,-2.216666666666667,"-1.954237000775832,-1.944748135913833,-2.1518360403916783,-1.910172390914609"
1.6333333333333333,31,Human,0,30,12,1230,-1.6333333333333333,"-1.4494431491012534,-1.411516004529962,-1.4135817898073555,-1.468645384719763"
1.85,32,Human,1,31,22,587,-1.85,"-1.406152013738541,-1.4742660519931516,-1.798859975955825,-1.820108475355585"
3.2,33,Human,3,32,25,1187,-3.2,"-2.258253212876223,-2.3103645777965616,-2.296618036703522,-2.429783810428419"
6.6,34,Human,0,33,5,1615,-6.6,"-5.4481233743530755,-5.382563861904521,-5.290909551458907,-5.4045853169414855"
3.4,35,Human,3,34,26,357,-3.4,"-2.697563215350935,-2.359997435979431,-2.1939542721624283,-2.40993276216174"
4.1,36,Human,1,18,12,1627,-4.1,"-3.200124398326646,-3.315833989751409,-6.602061098017322,-3.772759816669649"
1.7166666666666666,37,Human,3,35,27,1708,-1.7166666666666666,"-1.540882414880999,-1.5528024571959813,-1.5372365648923356,-1.5266160413769538"
2.966666666666667,38,Human,3,27,3,1644,-2.966666666666667,"-2.355050151954231,-3.339808162285794,-2.37055938862226,-2.4307909726885715"
3.4833333333333334,39,Human,0,36,28,1309,-3.4833333333333334,"-2.780087996609731,-2.606953733257162,-2.704288667230751,-2.718834485558082"
3.816666666666667,40,Human,1,37,27,1318,-3.816666666666667,"-2.6595147202149394,-2.8904200995012834,-2.8670297262173405,-2.673113317321169"
2.9166666666666665,41,Human,0,18,2,466,-2.9166666666666665,"-2.693715808569648,-2.8600676555719473,-3.0089663367146717,-2.652634423042075"
2.2333333333333334,42,Human,3,38,29,1605,-2.2333333333333334,"-1.668127041745424,-2.141728397622548,-1.7328921835112738,-1.7199173578718745"
4.35,43,Human,1,24,12,807,-4.35,"-3.4811454467460132,-3.6292769669422853,-3.672001356338072,-4.601257853753452"
5.533333333333333,44,Human,2,35,15,800,-5.533333333333333,"-4.586667181775518,-4.4515707852615485,-4.643948776054698,-4.563042221928368"
2.0,45,Human,1,39,29,1219,-2.0,"-1.2133307693127646,-1.3658434869988314,-1.3340685031391966,-1.307789912221188"
1.1666666666666667,46,Human,0,40,18,234,-1.1666666666666667,"-1.05727441474502,-1.094420403150461,-1.042680542339326,-1.0579268914189146"
1.1166666666666667,47,Human,2,41,30,1734,-1.1166666666666667,"-0.7098717660138211,-0.7107200403559553,-0.786773280946648,-1.3079122649779855"
2.35,48,Human,0,17,12,981,-2.35,"-1.9931113146194404,-1.9819962830344524,-2.1668611000915847,-2.0505716094933297"
6.533333333333333,49,Human,3,42,31,1027,-6.533333333333333,"-5.1740684339970695,-4.977694530656035,-5.008076247057498,-5.190213010186077"
1.0666666666666667,50,Human,3,13,32,731,-1.0666666666666667,"-0.5990562387662048,-0.6511939404991658,-0.6223703736354153,-0.6688934926022245"
1.6,51,Human,2,43,9,1262,-1.6,"-1.0704601840736294,-1.2728491396558623,-1.139833834181621,-1.086170948379352"
2.6333333333333333,52,Human,1,44,33,1236,-2.6333333333333333,"-1.659555044479995,-1.7781234273406992,-1.8329555724377586,-1.6766698904183701"
2.183333333333333,53,Human,1,18,9,13,-2.183333333333333,"-1.6447511804721895,-1.6958295318127257,-1.9434973989595845,-2.4765306122448982"
4.333333333333333,54,Human,0,45,5,385,-4.333333333333333,"-3.028336241624079,-2.7125446705680107,-2.723792369647643,-2.71341149850869"
1.2333333333333334,55,Human,0,46,29,188,-1.2333333333333334,"-0.9316974418853216,-0.9660819864302814,-5.283043051633901,-4.74472534874281"
3.1,56,Human,1,47,12,208,-3.1,"-2.6246984495742147,-2.634330880919683,-2.695471605488848,-2.556235049815463"
3.35,57,Human,2,48,34,1156,-3.35,"-2.54345307625254,-2.6075356330307606,-2.6509432723309714,-2.6539373484112994"
3.216666666666667,58,Human,3,0,35,445,-3.216666666666667,"-2.3350181829391223,-2.3488380476452644,-2.5789668063049556,-2.430502064036558"
3.2333333333333334,59,Human,0,49,5,574,-3.2333333333333334,"-2.8436616668265584,-2.976616780621535,-2.8474206160505955,-2.831980351535862"
2.8333333333333335,60,Human,1,13,36,1415,-2.8333333333333335,"-2.327013499214915,-2.3371321754385574,-4.122106307833821,-2.6720213203502157"
3.4166666666666665,61,Human,0,36,34,1461,-3.4166666666666665,"-3.2293446170881843,-3.2808006639318923,-3.576198823195598,-3.51607477357575"
5.883333333333334,62,Human,1,36,37,1184,-5.883333333333334,"-4.0479405441082115,-4.393647811896536,-4.366404114417545,-4.55179781343783"
1.65,63,Human,0,50,38,1553,-1.65,"-1.1718279565245826,-1.0893278422960258,-1.1510509488172518,-2.406735048230956"
3.5833333333333335,64,Human,2,51,11,1356,-3.5833333333333335,"-2.8343703157102302,-2.6770469782352295,-2.8568958932558632,-2.880286702034689"
4.7,65,Human,1,52,23,1693,-4.7,"-3.346096759104676,-3.60485609138037,-3.8069894521016683,-3.387041259307243"
2.85,66,Human,0,53,12,1737,-2.85,"-2.6597049273273026,-2.789560287758012,-2.652873503613108,-2.6471627718041866"
3.2666666666666666,67,Human,0,54,39,1388,-3.2666666666666666,"-2.929807959238411,-2.8630711919036873,-3.0140644738817057,-2.998864254124976"
5.783333333333333,68,Human,0,55,40,589,-5.783333333333333,"-4.58765834057621,-4.333877647609018,-4.349409340683863,-8.29944041118993"
3.25,69,Human,0,56,34,124,-3.25,"-2.743137106353333,-2.730562872631067,-3.358335896887566,-2.6354465930257"
4.866666666666666,70,Human,1,57,41,598,-4.866666666666666,"-3.881796787829604,-4.006606984334412,-3.878036607042505,-7.456518872446349"
5.316666666666666,71,Human,1,58,42,1258,-5.316666666666666,"-4.000600758661996,-4.2364146735728125,-4.246260438804752,-3.967407481351072"
6.266666666666667,72,Human,1,59,5,231,-6.266666666666667,"-5.001400955486587,-5.081564734749192,-5.023668387441371,-5.054096449234841"
4.166666666666667,73,Human,2,49,5,1391,-4.166666666666667,"-3.0275770835331977,-2.976616780621535,-3.134753949383929,-3.188917614562023"
3.316666666666667,74,Human,0,13,43,1735,-3.316666666666667,"-2.8196874159310954,-2.8680603126779864,-2.870737383506318,-3.4168503686571827"
2.0166666666666666,75,Human,0,60,9,1662,-2.0166666666666666,"-1.6896895465457602,-1.693865235078913,-1.7033519095183072,-1.654743798167215"
2.65,76,Human,1,61,44,400,-2.65,"-2.691744053024144,-2.3652296485403057,-2.3430003025859305,-2.9441199637916187"
2.683333333333333,77,Human,3,62,5,175,-2.683333333333333,"-2.479787398904846,-2.8456953983897364,-2.8570199282016615,-2.5060280783875823"
2.283333333333333,78,Human,2,63,44,1553,-2.283333333333333,"-2.472222899238889,-2.7245988100063636,-2.0645937839498654,-2.0940500462243934"
2.283333333333333,79,Human,3,64,29,1655,-2.283333333333333,"-1.4473126424562812,-1.4760170397706245,-1.439589334270516,-1.535387872548318"
1.6833333333333333,80,Human,0,65,44,626,-1.6833333333333333,"-1.4321983332022516,-1.4910363166144789,-1.8211940499742012,-1.8549394847931973"
6.183333333333334,81,Human,2,66,45,486,-6.183333333333334,"-4.483015969814852,-4.715763843334309,-4.6867030959251945,-4.494493879337192"
3.716666666666667,82,Human,0,67,12,1091,-3.716666666666667,"-3.401134933630014,-3.3413530578751516,-3.406800622070017,-5.126451514190461"
3.8,83,Human,1,54,23,191,-3.8,"-3.3818890186050696,-3.447982923567528,-5.150099598541385,-3.456344198613237"
3.7,84,Human,3,66,3,836,-3.7,"-3.585760706694226,-3.690862185730765,-3.26755276394215,-3.2852969205536793"
4.116666666666666,85,Human,0,68,46,1436,-4.116666666666666,"-3.358858680923773,-3.270237130417322,-3.443612086132214,-3.351689514367727"
1.6333333333333333,86,Human,0,69,47,414,-1.6333333333333333,"-1.377655323151579,-1.3509395643066442,-1.3391135575900626,-1.672308808332548"
2.7666666666666666,87,Human,0,70,29,1390,-2.7666666666666666,"-2.2446846490360004,-2.166223701863755,-2.285295788581811,-2.3995214788579213"
2.75,88,Human,0,71,12,593,-2.75,"-2.3965202987696834,-2.342515319440496,-2.3489653101064114,-2.4420104187186116"
3.4,89,Human,1,72,9,117,-3.4,"-2.425091364119442,-2.6073287935764657,-2.461800606779789,-2.578347998666709"
4.133333333333334,90,Human,1,20,48,1026,-4.133333333333334,"-2.3703727043013028,-2.65228795045736,-2.4042870700476016,-2.2933511345502917"
4.333333333333333,91,Human,2,73,49,1440,-4.333333333333333,"-2.9246735930945453,-2.8945757280594018,-3.1383606228668572,-2.8711467769253125"
2.8,92,Human,2,74,50,1424,-2.8,"-2.2057328762872883,-2.216925514605571,-2.2821403636882964,-3.199372535165274"
1.25,93,Human,0,41,51,1790,-1.25,"-1.0937954381752704,-1.2597639055622252,-1.0973869835704066,-1.3681273805418497"
2.65,94,Human,1,27,18,1027,-2.65,"-2.287917567026811,-2.338005762304922,-2.7605642256902767,-2.5433173269307723"
3.55,95,Human,2,75,52,494,-3.55,"-2.602019668630591,-2.6659470987819165,-2.7306021737708766,-2.5489096891456366"
3.9166666666666665,96,Human,3,76,12,922,-3.9166666666666665,"-2.8125116822827043,-2.8415432949277624,-2.965674203446677,-3.0029572174442127"
3.2333333333333334,97,Human,3,77,34,1433,-3.2333333333333334,"-2.6951339460407753,-2.730504671452309,-4.35550373582626,-2.7930821694766035"
1.55,98,Human,0,78,44,465,-1.55,"-1.293699371227253,-1.3227718963755408,-2.0883988440588617,-1.2577516247679776"
2.9833333333333334,99,Human,0,7,34,395,-2.9833333333333334,"-2.263094207290988,-2.159829260707603,-2.4610715051697554,-2.280169279721978"
2.9166666666666665,100,Human,2,79,1,583,-2.9166666666666665,"-2.2083624148003334,-2.218193357688648,-2.341775780146472,-2.2254130507494576"
4.466666666666667,101,Human,0,80,53,76,-4.466666666666667,"-4.16181343287956,-4.256715630816762,-4.250582853731846,-6.031543027578202"
3.1166666666666667,102,Human,1,75,54,316,-3.1166666666666667,"-2.5466922308160127,-2.5970706313915057,-4.5590071161654,-3.604784390358015"
6.183333333333334,103,Human,3,81,55,278,-6.183333333333334,"-5.295190459374388,-5.973976098900177,-5.26721656219086,-5.438556887152933"
8.633333333333333,104,Human,2,82,56,356,-8.633333333333333,"-5.988613173131025,-6.308742345030165,-6.230632031070168,-5.991466959714052"
6.133333333333334,105,Human,1,83,39,187,-6.133333333333334,"-4.154956802865032,-4.504948476702033,-4.1215261356341095,-5.39188556634747"
3.033333333333333,106,Human,0,84,10,1087,-3.033333333333333,"-2.4265204007730583,-4.399489925300781,-2.4773049856910516,-2.455019587455951"
3.85,107,Human,3,85,29,137,-3.85,"-2.250788577490032,-2.6403327925842763,-2.14095867000508,-2.4752394233431314"
5.533333333333333,108,Human,1,35,20,1129,-5.533333333333333,"-5.13335570945441,-5.1605994069334,-5.1721250487235935,-5.128581094064696"
3.6333333333333333,109,Human,1,86,9,282,-3.6333333333333333,"-3.2276330930091013,-3.2786906417243156,-3.3210566097875045,-3.3948781182324947"
3.1333333333333333,110,Human,1,87,34,487,-3.1333333333333333,"-1.8794916481700594,-2.0835459363601556,-1.8295083213141372,-2.44887211137336"
1.7166666666666666,111,Human,0,88,57,1503,-1.7166666666666666,"-1.324803720653128,-1.8695766571567431,-1.2547083945169142,-2.3294576289839193"
1.85,112,Human,1,27,9,1787,-1.85,"-1.2615614245698281,-1.3232953132296836,-1.3499399759903965,-1.9324129651860744"
1.6,113,Human,0,45,12,1565,-1.6,"-1.33849276084804,-1.4108906917698685,-1.2742039076249652,-1.3094808970384413"
3.033333333333333,114,Human,1,89,58,791,-3.033333333333333,"-3.15623453386617,-2.5623991704735407,-2.5077710066825807,-2.6892915971180487"
3.05,115,Human,1,62,59,1691,-3.05,"-2.644014080794305,-2.703967567156452,-2.8490352080356978,-2.6360480238171586"
4.9,116,Human,0,29,60,122,-4.9,"-4.2718198991481415,-4.122379621394994,-4.122859582998065,-5.979169652022076"
0.9833333333333333,117,Human,0,90,61,143,-0.9833333333333333,"-0.8605067509739678,-1.1685637249860346,-2.6376313520368555,-0.8550801832612095"
