episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,300,200,91.61999999999999,8682.400000000001
210,0,144,92.61,8770.4
215,0,149,91.54,7842.4
220,0,139,91.03,8293.400000000001
225,0,143,91.53,8360.400000000001
230,0,128,92.5,8995.400000000001
235,0,128,91.98,8342.4
240,0,134,91.75999999999999,8471.4
245,0,131,94.86,10168.399999999998
250,0,114,91.56,8510.4
255,0,112,92.07,8886.399999999998
260,0,113,92.16999999999999,8872.399999999998
265,0,113,93.66,9348.399999999998
270,0,88,94.12,9687.399999999998
275,0,88,90.99,7942.4000000000015
280,0,87,92.21000000000001,8825.400000000001
285,0,94,93.03,8978.4
290,0,87,92.24000000000001,8640.400000000001
295,0,78,92.75999999999999,9323.4
300,0,55,93.32000000000001,9470.399999999998
305,0,67,91.69,8663.4
310,0,71,92.81,9002.4
315,0,54,92.05,8677.4
320,0,73,93.09,9325.399999999998
325,0,63,94.02,9563.399999999996
330,0,58,92.44,8940.399999999998
335,0,59,92.74000000000001,9061.4
340,0,56,95.47,10601.399999999996
345,0,28,92.54,8832.399999999998
350,0,39,92.14,8794.4
355,0,31,92.97,9301.399999999998
360,0,23,93.55999999999999,9546.399999999996
365,0,24,93.17,9369.399999999998
370,0,33,92.27,8818.400000000001
375,0,30,91.75,8509.4
380,0,20,92.09,8839.400000000001
385,0,20,90.63,8165.400000000001
390,0,15,92.57,9008.4
395,0,12,93.14999999999999,9209.399999999996
400,0,25,93.53,9284.399999999996
405,0,30,92.36,8983.400000000001
410,0,11,91.78,8664.400000000001
415,0,11,91.96000000000001,8641.400000000001
420,0,12,92.81,8994.4
425,0,7,93.06,9287.399999999996
430,0,7,93.23,9236.399999999996
435,0,8,92.64,9125.399999999996
440,0,14,92.82,9057.4
445,0,13,92.67,9020.4
450,0,7,93.42999999999999,9455.399999999996
455,0,6,93.29,9338.399999999996
460,0,4,92.09,8773.400000000001
465,0,2,93.55,9500.399999999996
470,0,2,93.7,9549.399999999996
475,0,5,93.34,9382.399999999996
480,0,3,93.55,9500.399999999996
