episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,94.16,16431.899999999998
210,53,299,94.73,16490.9
215,56,314,93.77,16187.9
220,50,289,92.51,14597.900000000001
225,43,291,94.45,16593.9
230,43,293,94.35000000000001,16187.899999999998
235,36,288,93.26,15091.9
240,31,268,93.5,16100.900000000003
245,26,255,92.12,14586.899999999998
250,34,259,93.12,14986.899999999998
255,28,251,92.65,14873.899999999996
260,17,242,91.07000000000001,12645.899999999996
265,19,223,93.81,15894.899999999998
270,21,216,94.12,16300.899999999998
275,18,202,91.77,14051.899999999994
280,19,201,92.59,14746.9
285,17,198,92.64999999999999,15201.899999999998
290,13,211,94.27,16126.9
295,14,211,94.35,17121.9
300,11,163,94.13,16122.900000000003
305,20,180,92.87,14825.9
310,16,159,93.7,15357.899999999998
315,17,147,92.47,14298.899999999996
320,11,142,92.7,15000.899999999998
325,6,155,92.75999999999999,15258.899999999996
330,8,171,92.38,14663.899999999998
335,6,154,93.16,15392.9
340,5,118,92.16,13865.899999999994
345,8,127,93.74,15505.900000000001
350,7,130,92.19000000000001,14171.899999999996
355,4,114,93.25999999999999,15506.899999999996
360,4,121,92.73,14910.899999999996
365,8,65,92.87,15006.899999999998
370,6,62,92.92,14970.899999999996
375,5,70,93.05,15048.899999999998
380,12,88,92.83,14903.899999999998
385,10,74,94.15,16448.900000000005
390,7,63,93.33,15729.899999999996
395,7,49,93.22,15472.9
400,15,57,93.51,15532.900000000001
405,10,51,92.44,14550.899999999996
410,9,51,93.06,15658.899999999998
415,5,70,92.33,14528.899999999994
420,8,91,93.92999999999999,16429.899999999998
425,6,50,93.02,15104.899999999996
430,8,38,92.4,14645.899999999996
435,7,37,92.32000000000001,14447.899999999994
440,6,21,94.36,16355.9
445,5,20,92.66,14824.899999999996
450,7,17,92.9,15066.899999999996
455,7,17,95.08,17010.9
460,7,22,92.55,14451.899999999994
465,5,11,92.83000000000001,14951.899999999998
470,6,20,94.01,16271.899999999996
475,10,51,92.92,15030.899999999996
480,8,43,92.99000000000001,15438.900000000001
485,5,40,92.59,14980.899999999996
490,6,30,92.42,14649.899999999996
495,3,25,93.8,15754.9
500,8,39,93.48,15749.900000000003
505,5,44,91.91,13811.899999999992
510,5,24,93.03,14949.899999999996
515,9,14,92.35,14403.899999999996
520,3,20,92.76,14732.899999999996
525,8,13,92.25,14349.899999999996
530,4,6,92.62,14707.899999999998
535,3,13,92.86,14938.899999999996
540,3,22,93.45,15555.899999999998
545,4,16,92.21000000000001,14394.899999999994
550,8,22,92.32,14185.899999999996
555,7,19,91.92,13964.899999999994
560,8,24,91.61,13464.899999999992
565,2,11,92.76,14612.899999999994
570,0,0,92.76,14612.899999999994
575,1,6,91.93,13779.899999999992
580,3,7,92.49000000000001,14326.899999999992
585,8,5,92.24,14062.899999999996
590,7,15,91.71000000000001,13906.899999999994
595,3,8,91.36,13454.899999999996
600,2,6,91.92,14024.899999999994
605,5,7,91.4,13449.899999999996
610,4,9,91.22999999999999,13291.899999999994
615,5,11,91.72,13890.89999999999
620,6,19,92.69,14907.899999999996
625,4,10,92.05000000000001,14113.899999999992
630,7,5,93.67,15739.899999999998
635,5,4,93.34,15427.899999999994
640,12,22,93.59,15793.899999999998
645,11,32,92.92,15469.899999999998
650,5,30,93.75,15895.899999999998
655,2,6,92.78,14831.899999999996
660,6,4,92.78999999999999,14865.899999999996
665,4,22,92.84,15129.899999999996
