travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.033333333333333,0,Human,0,0,0,5,-8.033333333333333,"-8.042876280091615,-8.048805812562568,-8.18923702938096,-8.254408872913476"
4.233333333333333,1,Human,1,1,1,5,-4.233333333333333,"-4.250251559771622,-4.224724606657892,-4.23278584217543,-4.31794227967084"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6414203270481187,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.138955988378645,-3.1980066741691897,-3.167161631226894,-3.135259162498315"
3.1,4,Human,0,3,3,11,-3.1,"-3.1002134672710757,-3.1108989458857805,-3.1215772036573752,-3.16017295732692"
5.45,5,Human,1,4,3,12,-5.45,"-5.464433215675511,-5.4340318554083025,-5.461440042184152,-5.44594194780364"
2.55,6,Human,2,4,4,13,-2.55,"-2.5484141180187203,-2.608908923052675,-2.548628780302421,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.3048206488263165,-5.285652595206893,-5.317956853583523,-5.326263347629217"
5.433333333333334,8,Human,1,4,3,17,-5.433333333333334,"-5.663069328840291,-5.422163457068777,-5.658790129669767,-5.59066454460608"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.484706341580389,-2.48708148474479,-2.6080414845022246,-2.543484582751748"
5.233333333333333,10,Human,1,4,3,26,-5.233333333333333,"-5.2477433150328965,-5.185401976704166,-5.24497877040248,-5.2438937690181975"
5.116666666666666,11,Human,1,4,3,28,-5.116666666666666,"-5.255136210457787,-5.156049465348652,-5.2189246957242545,-5.240853270838314"
2.8833333333333333,12,Human,3,0,3,30,-2.8833333333333333,"-2.8788290204948357,-2.9917063985250394,-3.002445894323359,-2.8795935208337173"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.569106253487068,-4.6729365010799135,-4.719364025560223,-4.819612191024718"
4.283333333333333,14,Human,3,1,1,33,-4.283333333333333,"-4.262595367771623,-4.247288748444506,-4.244475779366405,-4.251465707675988"
5.0,15,Human,1,4,3,37,-5.0,"-5.139196661050365,-5.004315268137041,-5.02735637040248,-5.048707761881226"
0.85,16,Human,0,7,6,39,-0.85,"-0.8688455249868318,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.6833333333333333,17,Human,0,8,7,55,-1.6833333333333333,"-1.6870854594662663,-1.8413539313493574,-1.759112963543949,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.9136783343730757,-2.2914863789314124,-1.9407669544709805,-2.027528439451463"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.11732081133613,-4.209187727361427,-4.176942781835557,-4.158037162338768"
4.583333333333333,20,Human,1,4,3,57,-4.583333333333333,"-4.861917328840292,-4.614562899930746,-4.666200995420542,-4.655482035684864"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.780739132358281,-2.9592442633842597,-2.9483995828424963,-2.907190793610461"
3.25,22,Human,1,11,4,60,-3.25,"-3.249040887773599,-3.2491350289207994,-3.509711212501158,-3.2689308016874103"
4.116666666666666,23,Human,2,7,9,61,-4.116666666666666,"-4.103746998905311,-4.125803209783538,-4.104075724524758,-4.237178747607392"
4.216666666666667,24,Human,3,12,10,69,-4.216666666666667,"-4.549977435656739,-4.544610829555088,-4.819613827758659,-4.215309243981976"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.8368336966573393,-3.0853057565718864,-2.9147564857476467"
2.4166666666666665,26,Human,0,13,11,72,-2.4166666666666665,"-2.4162711817337565,-2.477549441662914,-2.441025318932181,-2.470433230256019"
4.4,27,Human,1,11,3,73,-4.4,"-4.467296903521669,-4.392636762338162,-4.479347992250782,-4.503128738583123"
4.316666666666666,28,Human,1,11,3,75,-4.316666666666666,"-4.332298147936428,-4.315311218477202,-4.321148580467293,-4.369911140365585"
3.9166666666666665,29,Human,2,11,2,77,-3.9166666666666665,"-4.237325097192225,-4.209211826733286,-3.9267722689250135,-4.382264882062257"
4.416666666666667,30,Human,1,4,3,77,-4.416666666666667,"-4.520663327717031,-4.434980758187391,-4.481951244275677,-4.4932240140909325"
4.45,31,Human,1,11,3,79,-4.45,"-4.447714856150668,-4.445984608585233,-4.492807673800626,-4.460198990866498"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5824550054556061,-1.4243584213896545,-1.7353931820616333,-1.713404386543426"
4.4,33,Human,1,4,3,81,-4.4,"-4.4172239955069585,-4.370705763053807,-4.45688457760901,-4.3988966842803325"
