episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,200,300,94.64,13012.400000000001
210,0,209,94.96000000000001,12563.400000000001
215,0,223,94.89999999999999,11844.400000000001
220,0,215,95.77999999999999,12612.400000000001
225,0,206,95.62,13114.400000000009
230,0,187,95.38,12069.400000000001
235,0,183,94.03999999999999,11829.400000000001
240,0,193,98.31,14639.400000000009
245,0,181,94.69999999999999,12552.400000000007
250,0,194,95.66,12018.400000000001
255,0,174,93.00999999999999,11042.4
260,0,164,96.64,13061.400000000003
265,0,161,97.59,13566.400000000005
270,0,167,93.78999999999999,11211.400000000001
275,0,164,94.72,11713.400000000001
280,0,161,98.22,14269.400000000007
285,0,158,94.69,12115.400000000001
290,0,147,93.21,11815.400000000001
295,0,140,96.01,12947.400000000001
300,0,145,95.15,12401.400000000003
305,0,120,94.08,12044.400000000001
310,0,119,95.92,12982.400000000005
315,0,142,93.15,10754.400000000001
320,0,120,93.54,11471.400000000001
325,0,118,94.06,12208.400000000001
330,0,104,95.08999999999999,12518.400000000005
335,0,101,95.35,12070.400000000001
340,0,82,93.83,11671.400000000001
345,0,79,94.22,11803.400000000001
350,0,64,94.87,11954.400000000003
355,0,77,95.88,12953.400000000005
360,0,66,95.43,12228.400000000001
365,0,30,93.83,11093.400000000001
370,0,40,94.17999999999999,11750.400000000001
375,0,61,95.02,11910.400000000001
380,0,74,94.1,11717.400000000001
385,0,71,94.97,12252.400000000001
390,0,46,95.08,12335.400000000001
395,0,49,96.74000000000001,13420.400000000003
400,0,57,93.78999999999999,11329.400000000001
405,0,45,97.85,13544.400000000005
410,0,34,94.21000000000001,11629.400000000001
415,0,46,93.99000000000001,11504.400000000001
420,0,42,95.95,12435.400000000001
425,0,29,94.98,12065.400000000003
430,0,36,95.03999999999999,12302.400000000001
435,0,42,94.11,11831.400000000001
440,0,37,95.76,12344.400000000001
445,0,18,94.39,11687.400000000001
450,0,26,96.61,12864.400000000003
455,0,27,94.96,12036.400000000001
460,0,13,95.06,12155.400000000001
465,0,16,96.23,12574.400000000005
470,0,11,94.41,11735.400000000001
475,0,7,94.97,12036.400000000001
480,0,11,94.36,11678.4
485,0,11,95.58999999999999,12489.400000000001
490,0,6,95.72999999999999,12422.400000000001
495,0,1,96.21,12686.400000000001
500,0,4,96.26,12751.400000000001
505,0,3,95.72999999999999,12422.400000000001
510,0,1,94.72,11930.400000000001
515,0,7,94.39999999999999,11801.400000000001
520,0,9,95.28,12277.400000000001
525,0,8,95.72999999999999,12422.400000000001
530,0,1,94.4,11746.4
535,0,2,95.82000000000001,12497.400000000001
540,0,1,95.72999999999999,12422.400000000001
545,0,2,95.80999999999999,12473.400000000001
550,0,12,95.42,12232.400000000001
555,0,27,95.94000000000001,12740.400000000001
560,0,19,95.27,12069.400000000001
565,0,2,95.72999999999999,12422.400000000001
570,0,0,95.72999999999999,12422.400000000001
575,0,0,95.72999999999999,12422.400000000001
580,0,0,95.72999999999999,12422.400000000001
585,0,0,95.72999999999999,12422.400000000001
590,0,6,95.28,12256.400000000001
595,0,6,95.72999999999999,12422.400000000001
600,0,0,95.72999999999999,12422.400000000001
605,0,1,94.25,11710.400000000001
610,0,1,95.72999999999999,12422.400000000001
615,0,0,95.72999999999999,12422.400000000001
620,0,0,95.72999999999999,12422.400000000001
625,0,0,95.72999999999999,12422.400000000001
630,0,0,95.72999999999999,12422.400000000001
635,0,0,95.72999999999999,12422.400000000001
640,0,0,95.72999999999999,12422.400000000001
645,0,0,95.72999999999999,12422.400000000001
650,0,0,95.72999999999999,12422.400000000001
655,0,0,95.72999999999999,12422.400000000001
660,0,0,95.72999999999999,12422.400000000001
665,0,0,95.72999999999999,12422.400000000001
670,0,0,95.72999999999999,12422.400000000001
675,0,0,95.72999999999999,12422.400000000001
680,0,0,95.72999999999999,12422.400000000001
685,0,0,95.72999999999999,12422.400000000001
690,0,0,95.72999999999999,12422.400000000001
695,0,0,95.72999999999999,12422.400000000001
700,0,0,95.72999999999999,12422.400000000001
705,0,0,95.72999999999999,12422.400000000001
710,0,0,95.72999999999999,12422.400000000001
715,0,0,95.72999999999999,12422.400000000001
720,0,0,95.72999999999999,12422.400000000001
725,0,0,95.72999999999999,12422.400000000001
730,0,0,95.72999999999999,12422.400000000001
735,0,0,95.72999999999999,12422.400000000001
740,0,0,95.72999999999999,12422.400000000001
745,0,0,95.72999999999999,12422.400000000001
750,0,0,95.72999999999999,12422.400000000001
