travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
4.316666666666666,318,AV,2,11,20,573,4.108444444444445,"0,0,0,0"
4.833333333333333,273,AV,0,16,9,481,4.108444444444445,"0,0,0,0"
6.066666666666666,13,AV,3,6,5,31,4.108444444444445,"0,0,0,0"
8.766666666666667,467,AV,2,7,66,873,4.108444444444445,"0,0,0,0"
5.7,202,AV,3,4,20,354,4.108444444444445,"0,0,0,0"
4.016666666666667,306,AV,0,11,20,546,4.108444444444445,"0,0,0,0"
8.216666666666667,291,AV,2,16,10,517,4.108444444444445,"0,0,0,0"
5.766666666666667,345,AV,2,7,10,667,4.108444444444445,"0,0,0,0"
4.25,14,AV,1,1,1,33,4.108444444444445,"0,0,0,0"
3.9833333333333334,44,AV,1,4,3,93,4.108444444444445,"0,0,0,0"
3.3,337,AV,3,54,1,622,4.108444444444445,"0,0,0,0"
5.733333333333333,223,AV,2,11,3,384,4.108444444444445,"0,0,0,0"
3.55,72,AV,2,8,15,150,4.108444444444445,"0,0,0,0"
5.283333333333333,455,AV,0,4,3,859,4.108444444444445,"0,0,0,0"
5.25,242,AV,0,42,20,418,4.108444444444445,"0,0,0,0"
5.883333333333334,97,AV,2,4,3,191,4.108444444444445,"0,0,0,0"
4.866666666666666,27,AV,2,11,3,73,4.108444444444445,"0,0,0,0"
2.716666666666667,139,AV,3,29,3,264,4.108444444444445,"0,0,0,0"
5.75,201,AV,2,11,3,353,4.108444444444445,"0,0,0,0"
4.116666666666666,174,AV,3,8,32,323,4.108444444444445,"0,0,0,0"
4.983333333333333,114,AV,1,4,3,226,4.108444444444445,"0,0,0,0"
6.166666666666667,245,AV,3,4,20,423,4.108444444444445,"0,0,0,0"
11.383333333333333,176,AV,3,0,16,324,4.108444444444445,"0,0,0,0"
5.866666666666666,182,AV,3,16,10,331,4.108444444444445,"0,0,0,0"
3.716666666666667,411,AV,3,7,9,780,4.108444444444445,"0,0,0,0"
7.166666666666667,475,AV,0,1,10,887,4.108444444444445,"0,0,0,0"
3.65,207,AV,3,4,38,362,4.108444444444445,"0,0,0,0"
5.616666666666666,150,AV,0,11,3,283,4.108444444444445,"0,0,0,0"
5.1,409,AV,3,11,60,779,4.108444444444445,"0,0,0,0"
2.966666666666667,451,AV,0,64,64,851,4.108444444444445,"0,0,0,0"
5.4,231,AV,0,11,3,399,4.108444444444445,"0,0,0,0"
5.716666666666667,136,AV,0,11,3,260,4.108444444444445,"0,0,0,0"
5.583333333333333,457,AV,1,17,5,861,4.108444444444445,"0,0,0,0"
5.6,45,AV,2,11,3,94,4.108444444444445,"0,0,0,0"
