episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,280,420,95.08,15855.600000000013
210,34,298,97.10000000000001,17372.600000000002
215,29,299,96.08,17178.600000000017
220,23,291,93.92999999999999,14323.600000000015
225,25,282,95.7,15959.600000000015
230,20,287,95.17999999999999,16000.600000000013
235,20,291,98.18,17452.60000000001
240,16,281,97.33,17793.600000000002
245,15,283,95.95,15588.600000000015
250,13,267,97.77,16492.600000000013
255,14,255,96.8,16017.600000000011
260,11,240,95.83,15345.600000000011
265,8,245,98.54,17857.600000000006
270,11,225,96.62,15766.600000000013
275,10,231,98.53,17648.600000000006
280,6,198,96.63,16107.600000000013
285,9,201,95.84,15801.600000000013
290,10,205,94.66,14463.600000000015
295,17,218,93.98,14767.600000000011
300,12,200,95.32,14264.600000000013
305,12,172,95.51,15482.600000000013
310,6,196,97.07,16551.600000000013
315,5,176,95.5,15309.600000000015
320,4,195,95.09,14770.600000000013
325,4,141,97.85000000000001,16996.600000000013
330,4,135,97.57,16748.60000000001
335,6,166,94.94999999999999,14986.600000000013
340,6,139,95.88000000000001,15478.600000000013
345,4,120,96.92999999999999,15930.600000000013
350,8,117,96.89999999999999,16141.600000000013
355,5,156,94.77000000000001,14091.600000000013
360,2,164,97.2,16441.600000000013
365,5,119,96.21000000000001,15485.600000000013
370,6,100,95.58,15653.600000000013
375,3,98,97.32000000000001,15854.600000000013
380,3,81,97.27,16163.600000000015
385,3,98,97.26,16196.600000000013
390,3,94,94.92,14898.600000000011
395,3,83,97.3,15900.600000000015
400,6,83,97.1,16532.600000000013
405,2,78,96.85,15855.600000000011
410,4,63,98.13000000000001,16713.600000000013
415,4,62,96.11,15737.600000000013
420,3,77,97.5,16267.600000000013
425,2,52,96.3,15108.600000000013
430,3,40,97.18,16430.600000000013
435,5,37,97.36,15976.600000000013
440,2,38,96.57,15286.600000000013
445,0,87,95.88000000000001,15219.600000000011
450,2,95,95.19,14701.600000000013
455,3,57,96.75,15566.600000000015
