id,start_time,origin,destination,kind
0,5,0,0,Human
1,5,1,1,Human
2,11,2,2,Human
3,11,0,3,Human
4,11,3,3,Human
5,12,4,3,Human
6,13,4,4,Human
7,15,4,3,Human
8,17,4,3,Human
9,25,5,2,Human
10,26,4,3,Human
11,28,4,3,Human
12,30,0,3,Human
13,31,6,5,Human
14,33,1,1,Human
15,37,4,3,Human
16,39,7,6,Human
17,55,8,7,Human
18,56,9,8,Human
19,57,8,9,Human
20,57,4,3,Human
21,58,10,5,Human
22,60,11,4,Human
23,61,7,9,Human
24,69,12,10,Human
25,72,11,3,Human
26,72,13,11,Human
27,73,11,3,Human
28,75,11,3,Human
29,77,11,2,Human
30,77,4,3,Human
31,79,11,3,Human
32,80,0,12,Human
33,81,4,3,Human
34,82,13,4,Human
35,82,14,3,Human
36,82,11,3,Human
37,82,0,2,Human
38,83,4,3,Human
39,86,4,3,Human
40,88,0,3,Human
41,89,11,3,Human
42,91,11,3,Human
43,92,11,2,Human
44,93,4,3,Human
45,94,11,3,Human
46,96,11,13,Human
47,101,15,1,Human
48,101,4,4,Human
49,105,4,3,Human
50,106,16,5,Human
51,109,4,3,Human
52,112,0,12,Human
53,119,17,5,Human
54,125,7,10,Human
55,127,18,2,Human
56,128,7,4,Human
57,129,1,1,Human
58,131,7,10,Human
59,132,1,1,Human
60,133,4,3,Human
61,134,1,1,Human
62,135,16,5,Human
63,136,7,10,Human
64,136,1,1,Human
65,139,7,9,Human
66,140,19,12,Human
67,141,20,3,Human
68,141,7,4,Human
69,142,8,9,Human
70,149,13,14,Human
71,149,8,9,Human
72,150,8,15,Human
73,152,4,16,Human
74,154,4,3,Human
75,154,13,4,Human
76,155,4,3,Human
77,158,21,17,Human
78,160,22,9,Human
79,160,4,18,Human
80,164,11,3,Human
81,166,11,3,Human
82,167,23,2,Human
83,169,11,3,Human
84,171,11,3,Human
85,172,11,3,Human
86,176,11,4,Human
87,178,11,3,Human
88,179,11,3,Human
89,181,4,3,Human
90,181,11,3,Human
91,181,0,2,Human
92,183,4,3,Human
93,186,4,3,Human
94,188,4,3,Human
95,189,24,19,Human
96,189,4,3,Human
97,191,4,3,Human
98,192,4,3,Human
99,194,1,1,Human
