episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,95.08,17553.9
210,55,294,93.55000000000001,15577.900000000001
215,45,307,93.67999999999999,15885.900000000001
220,44,291,90.88,12499.899999999998
225,33,290,93.75999999999999,15913.9
230,32,303,94.53,16710.899999999998
235,31,293,93.46,15826.9
240,27,271,93.38,15694.900000000001
245,28,243,92.61,14839.899999999998
250,12,251,92.63,14526.899999999996
255,16,235,92.53999999999999,14739.9
260,15,225,92.36,14656.899999999994
265,12,228,93.16,15841.899999999996
270,17,212,93.32000000000001,15377.900000000001
275,18,210,93.66,16367.900000000001
280,20,187,92.22,14535.899999999996
285,17,178,92.66,14785.899999999998
290,14,184,93.46000000000001,15418.899999999998
295,15,183,93.66,16092.9
300,17,169,92.58,15001.899999999996
305,9,167,92.83,14616.899999999996
310,12,162,93.67,16131.899999999998
315,10,154,92.21,13921.899999999994
320,3,113,95.67,18118.899999999998
325,6,108,91.74000000000001,14272.899999999996
330,6,140,92.16,14045.899999999998
335,9,122,91.49000000000001,13695.899999999994
340,11,109,91.69,13808.899999999996
345,7,113,93.35,15349.900000000001
350,10,127,91.87,13629.899999999994
355,5,84,92.25,14384.899999999994
360,6,64,92.7,15033.9
365,10,65,92.60000000000001,14839.899999999998
370,6,87,92.62,14955.899999999996
375,9,89,91.35,13639.899999999994
380,7,83,91.5,13687.899999999994
385,13,83,92.89999999999999,15252.899999999998
390,4,68,92.29,14807.899999999996
395,6,70,93.91000000000001,15700.9
400,5,50,92.72,15041.899999999996
405,5,33,92.9,15283.899999999998
410,8,60,92.98,15725.900000000001
415,6,52,92.64,14828.899999999996
420,3,63,92.25,14470.9
425,8,56,92.23,14393.899999999996
430,4,43,92.59,14900.900000000001
435,3,31,93.13,15401.899999999998
440,8,42,91.66,13705.899999999994
445,11,48,94.28,16516.9
450,10,45,92.88,14698.900000000003
455,4,26,93.21,15269.900000000001
460,5,31,93.35000000000001,15520.900000000003
465,5,23,92.5,14480.899999999996
470,5,17,92.82000000000001,15017.899999999996
475,3,26,94.08,16130.900000000001
480,5,33,93.72,15669.900000000001
485,8,26,92.77,14681.9
490,7,24,93.67999999999999,15567.900000000001
495,4,18,93.66000000000001,15740.900000000001
500,12,48,92.85000000000001,15150.9
505,7,26,92.85000000000001,14794.899999999998
510,7,10,92.03,13835.899999999996
515,6,22,91.73,13617.899999999994
520,5,18,91.97,13835.899999999992
525,4,6,92.18,14194.899999999996
530,4,15,92.76,14737.899999999996
535,6,20,92.04,13645.899999999994
540,5,25,92.78,14611.899999999996
545,3,19,92.05,13555.899999999996
550,4,27,91.49,13231.899999999994
555,4,25,92.32,14016.899999999996
560,7,22,92.36,14136.899999999996
565,6,10,91.73,13600.899999999996
570,4,4,92.04,14014.899999999996
575,5,6,92.52999999999999,14440.899999999996
580,7,20,92.39,14230.899999999996
585,2,6,92.8,14780.899999999998
590,4,13,91.88000000000001,14172.899999999994
