travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.066666666666666,0,Human,0,0,0,5,-8.066666666666666,"-8.051464667650519,-8.060587050050056,-8.19435702938096,-8.25083020624681"
4.216666666666667,1,Human,1,1,1,5,-4.216666666666667,"-4.288790226438288,-4.2248219614041265,-4.230637422458718,-4.316378546337505"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6374289910958235,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.133469210632051,-3.1963000075025234,-3.161401631226894,-3.1317938700182246"
3.1,4,Human,0,3,3,11,-3.1,"-3.09874422827452,-3.1117746792191143,-3.1067077712383853,-3.1823329573269197"
5.45,5,Human,1,4,3,12,-5.45,"-5.441217941008844,-5.4309188483281305,-5.448317069170819,-5.433464480496974"
2.55,6,Human,2,4,4,13,-2.55,"-2.548576096310166,-2.605575589719342,-2.548824111626825,-2.642764528172278"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.305204776826316,-5.283964863563733,-5.326675479716857,-5.333926263895885"
5.433333333333334,8,Human,1,4,3,17,-5.433333333333334,"-5.6384026621736245,-5.428169213529147,-5.638464796336432,-5.460531635684864"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.482915031259925,-2.484478307051555,-2.6080414845022246,-2.5408179160850812"
5.25,10,Human,1,4,3,26,-5.25,"-5.2464944792263175,-5.188702874372479,-5.235198146390921,-5.231842866456521"
5.116666666666666,11,Human,1,4,3,28,-5.116666666666666,"-5.339085328840292,-5.156581518952044,-5.195334295724255,-5.2023765446060795"
2.8833333333333333,12,Human,0,0,3,30,-2.8833333333333333,"-2.8791811646293066,-2.9883730651917064,-3.005779227656692,-2.878901958930884"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.566783315881051,-4.6729365010799135,-4.72123069222689,-4.820545524358051"
4.25,14,Human,1,1,1,33,-4.25,"-4.260957326105924,-4.235771950832923,-4.24726533794151,-4.239209105832317"
4.983333333333333,15,Human,1,4,3,37,-4.983333333333333,"-5.156396661050364,-4.998802318346886,-5.043889703735813,-5.103490680757599"
0.8666666666666667,16,Human,0,7,6,39,-0.8666666666666667,"-0.8623636658289051,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.6833333333333333,17,Human,0,8,7,55,-1.6833333333333333,"-1.6959250222150886,-1.8413539313493574,-1.759112963543949,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.9163267586628978,-2.2914863789314124,-1.9407669544709805,-2.027528439451463"
4.133333333333334,19,Human,0,8,9,57,-4.133333333333334,"-4.120673030475469,-4.164811325868451,-4.159020892135112,-4.126933066154324"
4.583333333333333,20,Human,1,4,3,57,-4.583333333333333,"-4.679048529738901,-4.610111933422942,-4.66290197040248,-4.676198961881225"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.783234931195755,-2.956577596717593,-2.9483995828424963,-2.907190793610461"
3.2666666666666666,22,Human,0,11,4,60,-3.2666666666666666,"-3.2555525473305797,-3.255222741670038,-3.5063778791678244,-3.2707435274474106"
4.1,23,Human,2,7,9,61,-4.1,"-4.095678071553307,-4.1191600097835375,-4.095900763002248,-4.238885414274058"
4.2,24,Human,1,12,10,69,-4.2,"-4.437743453043401,-4.2479477703803274,-4.816280494425326,-4.497483993555736"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.8347386920399322,-3.0853057565718864,-2.9147564857476467"
2.4,26,Human,0,13,11,72,-2.4,"-2.404072026345284,-2.477549441662914,-2.441025318932181,-2.492433230256019"
4.4,27,Human,1,11,3,73,-4.4,"-4.423296903521669,-4.396043135201263,-4.466592990313476,-4.467422071916456"
4.333333333333333,28,Human,1,11,3,75,-4.333333333333333,"-4.345294414603094,-4.321829698853888,-4.365766864373834,-4.320814834790315"
3.9166666666666665,29,Human,2,11,2,77,-3.9166666666666665,"-4.241325097192226,-4.207078493399953,-3.921625230635117,-4.18813110257782"
4.416666666666667,30,Human,1,4,3,77,-4.416666666666667,"-4.51426332771703,-4.435612531912784,-4.497951244275676,-4.503224014090932"
4.466666666666667,31,Human,1,11,3,79,-4.466666666666667,"-4.475446307936428,-4.446004083912889,-4.4854212378918445,-4.510880590866498"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5824550054556061,-1.420296077757546,-1.7353931820616333,-1.713404386543426"
4.4,33,Human,1,4,3,81,-4.4,"-4.595303995506958,-4.360811692900361,-4.370840995420541,-4.405563350946999"
3.4166666666666665,34,Human,2,13,4,82,-3.4166666666666665,"-3.466748600433694,-3.448171089429292,-3.415806518284816,-3.5103755025984476"
2.316666666666667,35,Human,0,14,3,82,-2.316666666666667,"-2.3013606668108424,-2.3337422075843044,-2.3307598926240427,-2.4998095825803324"
4.4,36,Human,1,11,3,82,-4.4,"-4.407670236855003,-4.3903637504935284,-4.4220765473648065,-4.404856738583122"
5.133333333333334,37,Human,0,0,2,82,-5.133333333333334,"-5.123404704393565,-5.131067960526009,-5.2640908106191056,-5.166802340418988"
4.25,38,Human,1,4,3,83,-4.25,"-4.362476661050365,-4.270778298010024,-4.3266566370691475,-4.494690680757599"
4.3,39,Human,1,4,3,86,-4.3,"-4.4243958263129555,-4.315676939468811,-4.423951244275677,-4.387296684280332"
1.95,40,Human,3,0,3,88,-1.95,"-1.9567284159713267,-2.2557912476953743,-2.277780043213581,-1.951072818605566"
4.333333333333333,41,Human,1,11,3,89,-4.333333333333333,"-4.587830236855002,-4.325494455057797,-4.377409880698139,-4.58673758989557"
4.283333333333333,42,Human,1,11,3,91,-4.283333333333333,"-4.308121129402085,-4.281888880193165,-4.357676547364807,-4.293955320702795"
6.533333333333333,43,Human,0,11,2,92,-6.533333333333333,"-6.511478549821109,-6.51078175577597,-6.507418803379277,-6.517616483261832"
4.116666666666666,44,Human,1,4,3,93,-4.116666666666666,"-4.148129994383698,-4.112993777134337,-4.121587662087208,-4.303563350946999"
4.266666666666667,45,Human,1,11,3,94,-4.266666666666667,"-4.332121129402085,-4.255169489531651,-4.32620988069814,-4.270088654036129"
5.783333333333333,46,Human,3,11,13,96,-5.783333333333333,"-5.776737501090136,-5.78139420415583,-5.787395003873415,-5.776687623799704"
1.1333333333333333,47,Human,0,15,1,101,-1.1333333333333333,"-1.142019440344476,-1.2982083892364769,-2.5921691175285866,-1.3116600672562104"
2.7,48,Human,0,4,4,101,-2.7,"-2.6988493130502436,-2.9588338051088074,-2.698916580401274,-3.2628782892044894"
5.3,49,Human,1,4,3,105,-5.3,"-5.328550099492984,-5.292599915146445,-5.3362113128460695,-5.305154231775908"
0.9666666666666667,50,Human,0,16,5,106,-0.9666666666666667,"-0.9576385679060593,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
5.283333333333333,51,Human,1,4,3,109,-5.283333333333333,"-5.273625777359651,-5.249464502395357,-5.267420178596856,-5.257224320575072"
1.6666666666666667,52,Human,0,0,12,112,-1.6666666666666667,"-1.6728665481394964,-1.7288926843768466,-1.7353931820616333,-1.713404386543426"
4.966666666666667,53,Human,2,17,5,119,-4.966666666666667,"-4.92242187134119,-4.917875134291779,-4.927464024814264,-4.921953130358831"
4.716666666666667,54,Human,2,7,10,125,-4.716666666666667,"-4.67198887059351,-4.854123134994973,-4.679862805385694,-4.714315067976218"
4.35,55,Human,0,18,2,127,-4.35,"-4.362352458498591,-4.425366389651729,-4.4656535239314445,-4.4130853318827326"
3.75,56,Human,3,7,4,128,-3.75,"-3.7380733359706335,-3.7444116218954004,-3.745256504689677,-3.733258847149591"
5.266666666666667,57,Human,2,1,1,129,-5.266666666666667,"-4.843639293104955,-4.843681201777806,-4.902968667243412,-4.87037002122175"
4.116666666666666,58,Human,0,7,10,131,-4.116666666666666,"-4.124974906141182,-4.138280310046318,-4.400397070472292,-4.392487168303606"
5.25,59,Human,1,1,1,132,-5.25,"-4.474182128809826,-4.215395648467586,-4.511780859008132,-4.542698377903107"
4.9,60,Human,1,4,3,133,-4.9,"-4.981007996405566,-4.897588004030781,-4.983558129669767,-4.94306070235153"
5.3,61,Human,0,1,1,134,-5.3,"-5.157983428936033,-5.135104962701819,-5.126151123362378,-5.1281767040356625"
0.6666666666666666,62,Human,0,16,5,135,-0.6666666666666666,"-0.6615490175362698,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
4.316666666666666,63,Human,0,7,10,136,-4.316666666666666,"-4.333528442855041,-4.423781278743715,-4.5418035230445,-4.5941017346428845"
5.283333333333333,64,Human,0,1,1,136,-5.283333333333333,"-4.523896521629835,-4.618218142930086,-4.6859584195701105,-4.655803814390839"
4.316666666666666,65,Human,2,7,9,139,-4.316666666666666,"-4.359210388039755,-4.357938424608132,-4.338812984629098,-4.4084071209407245"
2.8333333333333335,66,Human,0,19,12,140,-2.8333333333333335,"-2.8399155290848404,-2.977806744180754,-2.8442187522470475,-2.953249561307605"
2.85,67,Human,0,20,3,141,-2.85,"-2.835053884293008,-2.847091098995144,-2.8478993930185466,-2.9369418206447446"
3.6666666666666665,68,Human,2,7,4,141,-3.6666666666666665,"-3.5630160265201756,-3.5648632294311082,-3.580977052863912,-3.5605189573669422"
4.366666666666666,69,Human,0,8,9,142,-4.366666666666666,"-4.367596671622772,-4.622942120836816,-4.725742781835557,-4.450819666026239"
0.75,70,Human,0,13,14,149,-0.75,"-0.7509149072483748,-1.550674985616997,-1.550975105665016,-1.713744489876584"
4.233333333333333,71,Human,0,8,9,149,-4.233333333333333,"-4.229034363122969,-4.257344317712686,-4.25001181062778,-4.2353912491994645"
