episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,420,280,94.39,12026.600000000006
210,0,198,95.77,12941.600000000004
215,0,206,96.72,13809.600000000004
220,0,207,94.02000000000001,11756.60000000001
225,0,204,94.71000000000001,12405.600000000004
230,0,184,94.86,12301.600000000002
235,0,200,93.69,11515.600000000004
240,0,191,94.96000000000001,12139.600000000004
245,0,156,96.58999999999999,14007.600000000006
250,0,153,93.4,11148.60000000001
255,0,160,95.32,13044.600000000002
260,0,152,92.81,10245.600000000006
265,0,147,94.07,11970.600000000002
270,0,140,93.71000000000001,11809.600000000004
275,0,132,93.76,12155.600000000008
280,0,128,95.95,14250.600000000006
285,0,133,93.29,11388.600000000004
290,0,121,95.65,13000.600000000002
295,0,112,93.23,11383.600000000008
300,0,108,93.16,11138.600000000008
305,0,113,95.41,12909.600000000004
310,0,108,93.62,11506.600000000006
315,0,88,95.33999999999999,12884.600000000002
320,0,76,94.03,12534.600000000006
325,0,74,92.94,11318.60000000001
330,0,72,94.03,12240.600000000006
335,0,82,94.05000000000001,12308.600000000004
340,0,63,95.02,12825.600000000002
345,0,61,94.0,12105.600000000004
350,0,50,93.78,12053.600000000008
355,0,50,94.02,11964.600000000006
360,0,48,93.78999999999999,11912.600000000004
365,0,62,94.61,12363.600000000006
370,0,47,93.92999999999999,12004.600000000008
375,0,51,94.95,12971.600000000002
380,0,61,92.93,11172.60000000001
385,0,46,93.08000000000001,11372.600000000011
390,0,41,94.74,12874.600000000004
395,0,47,93.09,11183.60000000001
400,0,34,92.94999999999999,11240.60000000001
405,0,13,94.07,12161.600000000006
410,0,11,93.08,11253.60000000001
415,0,26,94.53999999999999,12305.600000000002
420,0,35,93.84,11817.600000000006
425,0,35,93.86,11963.60000000001
430,0,19,93.17,11396.60000000001
435,0,28,93.96000000000001,12047.600000000008
440,0,10,93.08,11253.60000000001
445,0,8,93.06,11280.600000000006
450,0,7,93.05,11358.60000000001
455,0,4,93.66,11665.60000000001
460,0,11,93.63000000000001,11621.600000000006
465,0,14,94.07,12001.600000000006
470,0,10,93.71000000000001,11826.60000000001
475,0,9,93.89,11793.60000000001
480,0,11,91.87,10431.600000000008
485,0,10,93.39,11436.60000000001
490,0,3,93.45,11531.60000000001
495,0,7,93.95,11900.60000000001
500,0,7,93.45,11531.60000000001
505,0,1,93.96000000000001,11875.60000000001
510,0,1,93.45,11531.60000000001
515,0,1,93.58,11609.60000000001
520,0,1,93.45,11531.60000000001
525,0,0,93.45,11531.60000000001
530,0,0,93.45,11531.60000000001
535,0,6,94.69999999999999,12524.600000000004
540,0,12,93.49,11661.60000000001
545,0,6,93.45,11531.60000000001
550,0,0,93.45,11531.60000000001
555,0,0,93.45,11531.60000000001
560,0,0,93.45,11531.60000000001
565,0,0,93.45,11531.60000000001
570,0,3,92.32000000000001,10983.60000000001
575,0,3,93.45,11531.60000000001
580,0,10,92.93,11154.60000000001
585,0,11,93.42,11510.60000000001
590,0,1,93.45,11531.60000000001
595,0,0,93.45,11531.60000000001
600,0,0,93.45,11531.60000000001
605,0,0,93.45,11531.60000000001
610,0,2,93.46000000000001,11561.60000000001
615,0,7,92.68,10941.600000000008
620,0,6,93.45,11531.60000000001
625,0,0,93.45,11531.60000000001
630,0,0,93.45,11531.60000000001
635,0,0,93.45,11531.60000000001
640,0,2,93.47999999999999,11545.600000000011
645,0,2,93.45,11531.60000000001
650,0,0,93.45,11531.60000000001
655,0,0,93.45,11531.60000000001
660,0,0,93.45,11531.60000000001
665,0,0,93.45,11531.60000000001
670,0,0,93.45,11531.60000000001
675,0,0,93.45,11531.60000000001
680,0,0,93.45,11531.60000000001
685,0,0,93.45,11531.60000000001
690,0,0,93.45,11531.60000000001
695,0,0,93.45,11531.60000000001
700,0,0,93.45,11531.60000000001
705,0,0,93.45,11531.60000000001
710,0,1,93.42999999999999,11376.60000000001
715,0,1,93.45,11531.60000000001
720,0,0,93.45,11531.60000000001
725,0,0,93.45,11531.60000000001
730,0,1,93.33,11364.60000000001
735,0,1,93.45,11531.60000000001
740,0,0,93.45,11531.60000000001
745,0,0,93.45,11531.60000000001
750,0,0,93.45,11531.60000000001
755,0,0,93.45,11531.60000000001
760,0,0,93.45,11531.60000000001
765,0,0,93.45,11531.60000000001
770,0,0,93.45,11531.60000000001
