travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.033333333333333,0,Human,0,0,0,5,-8.033333333333333,"-8.050901740581427,-8.069365002088043,-8.17723702938096,-8.254408872913476"
4.25,1,Human,1,1,1,5,-4.25,"-4.298784893104956,-4.237927871181503,-4.2455996265482,-4.312454279670839"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6333333333333697,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.1448265858568005,-3.20080667416919,-3.15902829789356,-3.134184750022606"
3.0833333333333335,4,Human,0,3,3,11,-3.0833333333333335,"-3.087256207491944,-3.1119069458857807,-3.118878536990709,-3.1619062906602533"
5.433333333333334,5,Human,1,4,3,12,-5.433333333333334,"-5.470576533008844,-5.420202491717479,-5.449226708850819,-5.480857745136974"
2.55,6,Human,2,4,4,13,-2.55,"-2.5499997042667744,-2.608908923052675,-2.5498895912786015,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.3287578523943875,-5.283996939785637,-5.369135146866818,-5.349182430295883"
5.416666666666667,8,Human,1,4,3,17,-5.416666666666667,"-5.6350693288402915,-5.409351484402233,-5.6713234630031,-5.452264969018198"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.483333333333333,-2.486399491962099,-2.6080414845022246,-2.543484582751748"
5.15,10,Human,1,4,3,26,-5.15,"-5.2559299816995635,-5.15426734407882,-5.267512103735814,-5.210444012171647"
5.183333333333334,11,Human,1,4,3,28,-5.183333333333334,"-5.244229543791121,-5.177085135897453,-5.2302580290575875,-5.249549877939413"
2.8666666666666667,12,Human,3,0,3,30,-2.8666666666666667,"-2.883330626947003,-2.9917063985250394,-3.005779227656692,-2.870590263553354"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.565967616004326,-4.6729365010799135,-4.719364025560223,-4.812945524358051"
4.25,14,Human,1,1,1,33,-4.25,"-4.263700417305923,-4.249757895470449,-4.2613771463174865,-4.261654074174916"
5.033333333333333,15,Human,1,4,3,37,-5.033333333333333,"-5.086152529738901,-5.02663520663897,-5.120528796336433,-5.084014428547891"
0.85,16,Human,0,7,6,39,-0.85,"-0.8500000037198004,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7,17,Human,0,8,7,55,-1.7,"-1.7000000130717474,-1.8413539313493574,-1.759112963543949,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.9166400070141294,-2.2914863789314124,-1.9407669544709805,-2.027528439451463"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.121302588276763,-4.16665132586845,-4.1742208921351125,-4.148037162338769"
4.65,20,Human,1,4,3,57,-4.65,"-4.6714005297389,-4.653147428092723,-4.6595343287538755,-4.702148702351531"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.7818189729100027,-2.9592442633842597,-2.9483995828424963,-2.907190793610461"
3.25,22,Human,0,11,4,60,-3.25,"-3.2566646786432307,-3.2647102654650415,-3.509711212501158,-3.2670611056874104"
4.1,23,Human,0,7,9,61,-4.1,"-4.100630777072608,-4.1215098764502045,-4.106248105323655,-4.237178747607392"
4.2,24,Human,0,12,10,69,-4.2,"-4.194225595992401,-4.427596870277193,-4.816280494425326,-4.4287366024179216"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.834207148802414,-3.0853057565718864,-2.9147564857476467"
2.4,26,Human,0,13,11,72,-2.4,"-2.4000003356092665,-2.477549441662914,-2.444358652265514,-2.4744332302560195"
4.383333333333334,27,Human,1,11,3,73,-4.383333333333334,"-4.483296903521668,-4.372786570686455,-4.482681325584115,-4.412636324199832"
4.3,28,Human,1,11,3,75,-4.3,"-4.361577185015809,-4.29477851454986,-4.375046864373834,-4.374442340365585"
3.9166666666666665,29,Human,2,11,2,77,-3.9166666666666665,"-4.243991763858892,-4.218545160066618,-3.9182859220341584,-4.185331102577821"
4.466666666666667,30,Human,1,4,3,77,-4.466666666666667,"-4.699996661050363,-4.457683171395345,-4.481951244275677,-4.4932240140909325"
4.466666666666667,31,Human,1,11,3,79,-4.466666666666667,"-4.482721710730119,-4.4598515263503495,-4.468674340467293,-4.481839192693198"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5824550054556061,-1.416666667737963,-1.7353931820616333,-1.713404386543426"
4.383333333333334,33,Human,1,4,3,81,-4.383333333333334,"-4.417757328840292,-4.364703367044405,-4.450217910942343,-4.415563350946999"
3.4166666666666665,34,Human,2,13,4,82,-3.4166666666666665,"-3.4694152671003606,-3.4475044227626253,-3.4147678902004364,-3.5103755025984476"
2.2666666666666666,35,Human,0,14,3,82,-2.2666666666666666,"-2.2734499325183517,-2.333855452683809,-2.339713836377082,-2.4998095825803324"
4.4,36,Human,1,11,3,82,-4.4,"-4.4104702368550015,-4.401943234633227,-4.418076547364806,-4.415404256562237"
5.133333333333334,37,Human,0,0,2,82,-5.133333333333334,"-5.119350836766072,-5.133977055922852,-5.258224143952439,-5.348753811968952"
4.283333333333333,38,Human,1,4,3,83,-4.283333333333333,"-4.319249994383697,-4.288833347253811,-4.405934328753875,-4.333885877939413"
4.316666666666666,39,Human,1,4,3,86,-4.316666666666666,"-4.417729159646289,-4.311507466988164,-4.422617910942343,-4.387296684280332"
1.9333333333333333,40,Human,3,0,3,88,-1.9333333333333333,"-1.9567284159713267,-2.2557912476953743,-2.277780043213581,-1.9372569394544028"
4.333333333333333,41,Human,1,11,3,89,-4.333333333333333,"-4.603403570188335,-4.32650488826113,-4.380743214031473,-4.54769758989557"
4.3,42,Human,1,11,3,91,-4.3,"-4.313454462735419,-4.29182974107354,-4.363143214031473,-4.56449758989557"
6.533333333333333,43,Human,2,11,2,92,-6.533333333333333,"-6.539406600537427,-6.538885287287444,-6.532310949985241,-6.541286649802629"
4.15,44,Human,1,4,3,93,-4.15,"-4.181196661050365,-4.151626124733239,-4.226617910942343,-4.2814300176136655"
4.283333333333333,45,Human,1,11,3,94,-4.283333333333333,"-4.330787796068751,-4.269636650153594,-4.331543214031473,-4.272755320702795"
5.733333333333333,46,Human,3,11,13,96,-5.733333333333333,"-5.840487494425352,-5.890570964101865,-5.888973849157173,-5.7479001917213965"
1.15,47,Human,0,15,1,101,-1.15,"-1.1499999940845054,-1.2982083892364769,-2.5921691175285866,-1.3116600672562104"
2.7,48,Human,2,4,4,101,-2.7,"-2.7270964681986465,-2.964300471775474,-2.700000015777314,-3.2688782892044896"
5.283333333333333,49,Human,1,4,3,105,-5.283333333333333,"-5.31701854535965,-5.29270719238683,-5.362050331512737,-5.309308835842041"
0.95,50,Human,0,16,5,106,-0.95,"-0.9500000025879682,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
5.25,51,Human,1,4,3,109,-5.25,"-5.313458338367721,-5.250249692797337,-5.290265507663523,-5.28279321283406"
1.6666666666666667,52,Human,0,0,12,112,-1.6666666666666667,"-1.6692401778483372,-1.7288926843768466,-1.7353931820616333,-1.713404386543426"
4.95,53,Human,0,17,5,119,-4.95,"-4.952723766915592,-4.965008695956475,-4.964860703748079,-4.96609723982595"
4.683333333333334,54,Human,0,7,10,125,-4.683333333333334,"-4.668548721434385,-4.790515668328306,-4.702717656377834,-4.721381734642884"
4.35,55,Human,0,18,2,127,-4.35,"-4.367582431732209,-4.394090789227746,-4.463946857264778,-4.407453331882731"
3.75,56,Human,3,7,4,128,-3.75,"-3.766157371768088,-3.769499922315825,-3.7663114147234973,-3.7599597141208916"
5.316666666666666,57,Human,3,1,1,129,-5.316666666666666,"-5.243406083368465,-5.241399665492594,-5.225061831656267,-5.190825295609606"
4.116666666666666,58,Human,0,7,10,131,-4.116666666666666,"-4.118388613472385,-4.425957581370388,-4.294403004757031,-4.389287168303605"
3.966666666666667,59,Human,2,1,1,132,-3.966666666666667,"-4.497106429104956,-4.504344100561555,-4.021611122905581,-4.505918134388549"
4.9,60,Human,1,4,3,133,-4.9,"-4.9306805297389,-4.901905106337946,-4.9890514630031,-5.124313095214559"
5.183333333333334,61,Human,2,1,1,134,-5.183333333333334,"-5.23555873793544,-5.222445272210814,-5.195636962068325,-5.222704230588168"
0.6666666666666666,62,Human,0,16,5,135,-0.6666666666666666,"-0.6665404205601376,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
4.333333333333333,63,Human,0,7,10,136,-4.333333333333333,"-4.341632394626837,-4.511050612077049,-4.443368798932557,-4.589835067976218"
3.933333333333333,64,Human,0,1,1,136,-3.933333333333333,"-4.108489321280872,-4.850218588523354,-4.901201297323061,-4.896301865794921"
