episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,414,621,96.69,23590.900000000005
210,43,462,97.97,26521.90000000001
215,40,456,97.32,25601.90000000001
220,32,439,98.59,26993.90000000002
225,25,465,96.58,25273.90000000001
230,27,458,94.61999999999999,21370.9
235,14,451,98.38000000000001,26951.900000000012
240,16,443,97.99000000000001,25929.90000000001
245,21,480,97.32000000000001,25256.90000000001
250,17,463,96.80000000000001,24612.900000000005
255,15,487,97.05,24317.90000000001
260,17,469,97.12,25474.9
265,12,477,94.14,22908.9
270,13,465,98.55,26142.900000000012
275,17,474,95.49,23970.90000000001
280,15,462,98.18,26647.90000000001
285,9,471,98.63,26956.90000000001
290,7,462,96.56,25124.90000000001
295,13,472,96.61,25151.900000000016
300,4,464,96.52,24391.90000000001
305,7,435,97.27000000000001,25623.900000000016
310,7,467,97.75999999999999,24280.9
315,7,470,97.27000000000001,24192.900000000005
320,5,467,97.16,24804.90000000001
