travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.033333333333333,0,Human,0,0,0,5,-8.033333333333333,"-8.04139119549743,-8.062058988610056,-8.186570362714294,-8.251075539580144"
4.216666666666667,1,Human,1,1,1,5,-4.216666666666667,"-4.3054515597716225,-4.2270239965861505,-4.233520427059519,-4.310747613004172"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6362259288725428,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.127424050396142,-3.1968066741691903,-3.168361631226894,-3.124055762803363"
3.0833333333333335,4,Human,0,3,3,11,-3.0833333333333335,"-3.103281260415758,-3.114573612552447,-3.1147452036573755,-3.1659062906602538"
5.45,5,Human,1,4,3,12,-5.45,"-5.43368362436623,-5.4243320664685495,-5.451380522184152,-5.457061905136974"
2.55,6,Human,0,4,4,13,-2.55,"-2.548657005965574,-2.608908923052675,-2.548365400986815,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.319599315492984,-5.284705681239096,-5.332381600250189,-5.339360563629217"
5.433333333333334,8,Human,1,4,3,17,-5.433333333333334,"-5.675069328840292,-5.414993487483623,-5.6813234630031,-5.55866454460608"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.482548634270624,-2.4824786764485,-2.611374817835558,-2.543484582751748"
5.116666666666666,10,Human,1,4,3,26,-5.116666666666666,"-5.274498662173626,-5.140111006414969,-5.1857234630031,-5.18889734550498"
5.2,11,Human,1,4,3,28,-5.2,"-5.249296210457787,-5.1889637310830725,-5.266793089912738,-5.206938588547892"
2.8833333333333333,12,Human,0,0,3,30,-2.8833333333333333,"-2.8769209232966855,-2.9917063985250394,-3.005779227656692,-2.876087842101337"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.564958737867915,-4.6729365010799135,-4.719364025560223,-4.812945524358051"
4.266666666666667,14,Human,2,1,1,33,-4.266666666666667,"-4.230032188299071,-4.225026116540674,-4.232242782234672,-4.224850318403368"
5.0,15,Human,1,4,3,37,-5.0,"-5.026023995506959,-5.007591850148278,-5.231089703735814,-5.054484702351531"
0.8666666666666667,16,Human,0,7,6,39,-0.8666666666666667,"-0.8616520617038617,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.6833333333333333,17,Human,0,8,7,55,-1.6833333333333333,"-1.6871233252324207,-1.8413539313493574,-1.759112963543949,-2.4700871133190496"
1.9166666666666667,18,Human,0,9,8,56,-1.9166666666666667,"-1.9169175678752413,-2.2914863789314124,-1.9407669544709805,-2.027528439451463"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.124105530131258,-4.157984659201784,-4.177554225468446,-4.158037162338768"
4.616666666666666,20,Human,1,4,3,57,-4.616666666666666,"-4.721267196405567,-4.638530553852181,-4.679534328753876,-4.672148702351531"
