episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,420,280,92.96000000000001,10765.600000000006
210,0,208,92.91,11064.600000000008
215,0,220,95.28999999999999,12479.600000000004
220,0,208,93.21,10926.600000000004
225,0,206,94.58,12191.600000000004
230,0,212,93.54,11709.600000000004
235,0,210,94.52,12346.600000000008
240,0,219,92.95,10600.600000000006
245,0,207,92.55999999999999,10607.600000000006
250,0,205,96.5,13474.600000000006
255,0,216,95.25,12271.600000000008
260,0,209,95.30999999999999,12542.600000000004
265,0,218,95.61999999999999,12985.600000000004
270,0,215,94.08,11557.600000000004
275,0,197,92.82000000000001,10641.60000000001
280,0,209,94.96000000000001,12291.600000000004
285,0,204,91.8,9776.600000000008
290,0,223,93.24000000000001,10286.600000000006
295,0,202,92.25,10477.600000000006
300,0,217,94.04,11839.600000000004
305,0,220,95.12,12372.600000000002
310,0,205,93.82000000000001,11523.600000000006
315,0,206,94.0,12468.600000000004
320,0,208,94.24,11913.600000000004
