episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,414,621,96.39,24912.90000000001
210,40,454,95.38,22498.900000000005
215,44,453,96.64,24272.900000000005
220,41,432,98.85000000000001,27015.900000000016
225,33,433,97.25,24989.90000000002
230,21,451,96.67,25071.90000000001
235,24,410,96.97,25441.90000000001
240,16,433,95.72,22904.900000000005
245,21,426,95.38,23933.90000000001
250,27,408,96.86,25588.900000000012
255,25,393,97.02,25069.900000000005
260,16,392,94.8,21280.900000000005
265,42,385,97.85,26913.900000000023
270,39,385,96.44,24693.90000000001
275,24,362,97.02,25541.900000000016
280,19,341,97.03,24813.90000000001
285,15,312,97.81,26536.90000000002
290,16,321,95.47999999999999,23378.9
295,18,311,96.19,24790.90000000001
300,8,289,96.31,24463.90000000001
305,18,251,97.58,25148.900000000012
310,14,250,95.69,23887.90000000001
315,9,253,96.01,24735.900000000005
320,10,265,97.64,25926.900000000012
325,11,264,94.82,22786.900000000005
330,11,224,96.87,25067.900000000012
335,15,203,97.75,27191.90000000002
340,17,209,96.77,24841.900000000016
345,8,148,97.29,25862.90000000001
350,4,165,97.34,25694.900000000016
355,4,146,98.00999999999999,26929.900000000012
360,9,166,98.13,26573.900000000012
365,9,180,96.86999999999999,24703.90000000001
370,8,184,98.14,26941.900000000012
375,3,157,96.28,25051.90000000001
380,4,134,96.91,25348.900000000012
385,4,110,97.33,25596.900000000012
390,3,83,95.35,24059.90000000001
395,5,111,96.51,25049.900000000016
400,5,106,97.71,26061.900000000012
405,10,99,97.41,25476.900000000012
410,8,114,96.8,25155.90000000001
415,7,132,98.18,26087.900000000012
420,9,113,97.23,25426.900000000016
425,7,71,97.78,26011.900000000012
430,5,65,97.72,26269.900000000012
435,5,93,96.92999999999999,24966.90000000001
440,4,80,96.16,24630.90000000001
445,6,66,96.88000000000001,25545.900000000016
450,3,39,97.05,25956.900000000016
455,3,53,97.37,26369.900000000016
460,6,61,97.11,25853.900000000016
465,5,30,97.67,26623.90000000001
470,4,47,96.49000000000001,25239.900000000016
475,6,47,96.45,25196.900000000016
480,3,49,95.99,24645.90000000001
485,8,49,96.82,25715.90000000001
490,10,32,98.11,26716.90000000001
495,6,34,97.63,26278.900000000016
500,2,10,96.95,25556.900000000012
505,4,42,96.53999999999999,25052.900000000016
510,4,34,98.42,27003.90000000001
515,5,52,96.63,25366.90000000001
520,3,15,96.73,25432.900000000016
525,2,10,98.02,26767.90000000001
530,6,16,97.42999999999999,26098.900000000005
535,5,26,97.13000000000001,25695.900000000012
540,3,16,97.25,25925.900000000012
545,5,33,96.75999999999999,25135.900000000012
550,2,31,97.85,26532.900000000012
555,1,5,96.6,25270.90000000001
560,2,4,96.67,25258.90000000001
565,2,23,95.8,24273.90000000001
570,2,25,96.08999999999999,24622.900000000012
575,2,44,97.68,26313.900000000012
580,3,45,96.61,25248.900000000016
585,1,5,96.87,25510.900000000016
590,3,24,97.7,26363.900000000016
595,2,10,97.47999999999999,26165.90000000001
600,5,1,96.83999999999999,25441.900000000016
605,1,10,96.91,25517.900000000016
610,1,0,96.91999999999999,25533.900000000016
