travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
3.2,318,AV,0,11,20,573,4.1120833333333335,"0,0,0,0"
4.65,273,AV,3,16,9,481,4.1120833333333335,"0,0,0,0"
6.083333333333333,13,AV,2,6,5,31,4.1120833333333335,"0,0,0,0"
8.783333333333333,467,AV,2,7,66,873,4.1120833333333335,"0,0,0,0"
3.9,202,AV,0,4,20,354,4.1120833333333335,"0,0,0,0"
5.0,306,AV,1,11,20,546,4.1120833333333335,"0,0,0,0"
5.216666666666667,291,AV,1,16,10,517,4.1120833333333335,"0,0,0,0"
4.366666666666666,345,AV,0,7,10,667,4.1120833333333335,"0,0,0,0"
4.416666666666667,14,AV,0,1,1,33,4.1120833333333335,"0,0,0,0"
4.333333333333333,44,AV,0,4,3,93,4.1120833333333335,"0,0,0,0"
3.466666666666667,337,AV,1,54,1,622,4.1120833333333335,"0,0,0,0"
5.633333333333334,223,AV,0,11,3,384,4.1120833333333335,"0,0,0,0"
3.55,72,AV,2,8,15,150,4.1120833333333335,"0,0,0,0"
5.316666666666666,455,AV,2,4,3,859,4.1120833333333335,"0,0,0,0"
5.133333333333334,242,AV,3,42,20,418,4.1120833333333335,"0,0,0,0"
5.783333333333333,97,AV,0,4,3,191,4.1120833333333335,"0,0,0,0"
4.883333333333334,27,AV,2,11,3,73,4.1120833333333335,"0,0,0,0"
2.8333333333333335,139,AV,1,29,3,264,4.1120833333333335,"0,0,0,0"
5.833333333333333,201,AV,3,11,3,353,4.1120833333333335,"0,0,0,0"
2.55,174,AV,2,8,32,323,4.1120833333333335,"0,0,0,0"
6.416666666666667,114,AV,0,4,3,226,4.1120833333333335,"0,0,0,0"
6.316666666666666,245,AV,2,4,20,423,4.1120833333333335,"0,0,0,0"
14.25,176,AV,3,0,16,324,4.1120833333333335,"0,0,0,0"
5.333333333333333,182,AV,1,16,10,331,4.1120833333333335,"0,0,0,0"
4.933333333333334,411,AV,3,7,9,780,4.1120833333333335,"0,0,0,0"
6.933333333333334,475,AV,1,1,10,887,4.1120833333333335,"0,0,0,0"
3.2666666666666666,207,AV,1,4,38,362,4.1120833333333335,"0,0,0,0"
3.95,150,AV,1,11,3,283,4.1120833333333335,"0,0,0,0"
4.333333333333333,409,AV,1,11,60,779,4.1120833333333335,"0,0,0,0"
2.0833333333333335,451,AV,1,64,64,851,4.1120833333333335,"0,0,0,0"
4.916666666666667,231,AV,1,11,3,399,4.1120833333333335,"0,0,0,0"
7.216666666666667,136,AV,3,11,3,260,4.1120833333333335,"0,0,0,0"
7.116666666666666,457,AV,1,17,5,861,4.1120833333333335,"0,0,0,0"
5.566666666666666,45,AV,2,11,3,94,4.1120833333333335,"0,0,0,0"
5.533333333333333,261,AV,2,11,2,453,4.1120833333333335,"0,0,0,0"
2.5,9,AV,1,5,2,25,4.1120833333333335,"0,0,0,0"
3.716666666666667,414,AV,1,7,4,782,4.1120833333333335,"0,0,0,0"
4.666666666666667,301,AV,3,4,20,533,4.1120833333333335,"0,0,0,0"
4.75,30,AV,0,4,3,77,4.1120833333333335,"0,0,0,0"
4.516666666666667,195,AV,2,1,1,346,4.1120833333333335,"0,0,0,0"
5.45,124,AV,0,7,10,236,4.1120833333333335,"0,0,0,0"
3.533333333333333,365,AV,2,7,4,688,4.1120833333333335,"0,0,0,0"
1.9333333333333333,40,AV,3,0,3,88,4.1120833333333335,"0,0,0,0"
6.0,437,AV,0,1,1,815,4.1120833333333335,"0,0,0,0"
2.566666666666667,368,AV,3,47,2,693,4.1120833333333335,"0,0,0,0"
4.85,23,AV,3,7,9,61,4.1120833333333335,"0,0,0,0"
6.766666666666667,426,AV,1,8,16,798,4.1120833333333335,"0,0,0,0"
1.9166666666666667,18,AV,0,9,8,56,4.1120833333333335,"0,0,0,0"
5.816666666666666,142,AV,0,4,3,267,4.1120833333333335,"0,0,0,0"
5.583333333333333,115,AV,0,7,10,226,4.1120833333333335,"0,0,0,0"
4.016666666666667,479,AV,0,8,0,894,4.1120833333333335,"0,0,0,0"
5.133333333333334,11,AV,1,4,3,28,4.1120833333333335,"0,0,0,0"
2.433333333333333,357,AV,0,0,3,680,4.1120833333333335,"0,0,0,0"
4.183333333333334,90,AV,1,11,3,181,4.1120833333333335,"0,0,0,0"
4.25,141,AV,1,11,3,267,4.1120833333333335,"0,0,0,0"
4.916666666666667,76,AV,2,4,3,155,4.1120833333333335,"0,0,0,0"
