episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,300,200,91.52000000000001,8763.4
210,27,149,90.48,7930.400000000001
215,22,150,91.03,7441.400000000001
220,17,147,91.2,8186.400000000001
225,16,132,90.39,7563.400000000001
230,18,123,89.8,7304.4
235,21,128,89.89,7329.4
240,22,136,90.72,8152.399999999998
245,12,134,89.6,7286.4000000000015
250,14,116,90.67,8294.4
255,14,111,89.97,7610.400000000001
260,8,114,90.14,7697.400000000001
265,6,117,89.66,7010.4
270,9,108,89.98,7519.400000000001
275,8,100,90.75,8069.4
280,5,102,90.72999999999999,7868.400000000001
285,8,105,90.23,7382.400000000001
290,8,103,90.86,7918.400000000001
295,4,85,89.46,7323.399999999999
300,6,60,90.13999999999999,7670.400000000001
305,5,77,90.2,7963.400000000001
310,4,85,90.88999999999999,7664.400000000001
315,3,68,89.72,7051.4
320,2,77,89.99,7529.400000000001
325,0,70,90.74,7834.400000000001
330,7,60,91.07,8037.4
335,5,59,91.32,8052.4000000000015
340,4,58,91.05,8187.400000000001
345,6,50,91.22,7839.399999999999
350,5,42,90.36,7605.4
355,2,54,89.41,6929.399999999999
360,4,52,91.16000000000001,7930.400000000001
365,3,29,90.46,7850.400000000001
370,3,42,89.64,7268.399999999999
375,4,38,91.99,8404.400000000001
380,5,40,90.38000000000001,7747.4
385,4,32,89.97,7555.4000000000015
390,1,23,90.46,7742.400000000001
395,4,15,90.91,7765.399999999999
400,2,33,91.27000000000001,7904.400000000001
405,3,42,91.85,8547.4
410,2,30,90.92,7958.4000000000015
415,1,20,90.19,7428.4
420,2,17,89.91,7378.400000000001
425,1,6,91.09,7985.400000000001
430,1,11,89.83,7321.400000000001
435,2,12,92.6,8710.4
440,5,14,92.2,8480.4
445,5,20,89.34,6980.399999999999
450,3,16,90.03999999999999,7415.4
455,2,9,90.61999999999999,7562.400000000001
460,4,12,91.38000000000001,8059.400000000001
465,6,9,90.69,7651.400000000001
470,2,10,90.9,7760.4000000000015
475,3,14,90.95,7667.4000000000015
480,4,7,90.16999999999999,7411.400000000001
485,3,7,90.95,7878.4000000000015
490,2,8,91.44,8016.400000000001
495,4,7,91.52,8077.400000000001
500,4,8,91.63999999999999,8277.400000000001
505,4,5,91.59,8254.4
510,5,7,91.24,8034.400000000001
515,6,7,90.61,7822.4000000000015
520,3,8,90.85000000000001,7910.400000000001
525,2,8,90.62,7996.4000000000015
530,4,16,90.03,7544.400000000001
535,6,9,89.91,7355.4000000000015
540,4,19,92.16,8555.4
545,3,9,91.0,7970.400000000001
550,2,4,90.14999999999999,7422.4000000000015
555,2,5,89.92999999999999,7486.4000000000015
560,2,1,90.71,7843.400000000001
565,3,2,91.19999999999999,8078.4
570,2,6,90.97,8028.400000000001
575,4,9,91.19,8054.400000000001
580,4,6,91.12,8036.400000000001
585,4,1,90.3,7702.4000000000015
590,3,3,90.77,7948.4
595,3,5,90.41999999999999,7820.400000000001
600,1,0,90.46,7822.400000000001
605,1,3,90.13,7653.4000000000015
610,3,3,90.64999999999999,7921.400000000001
615,2,2,90.28999999999999,7745.400000000001
620,1,9,90.75,7986.4
625,1,9,90.28999999999999,7745.400000000001
630,4,2,90.95,8079.400000000001
635,4,2,90.19,7766.400000000001
640,4,7,89.58,7456.4000000000015
645,4,2,90.4,7803.400000000001
650,6,6,91.05,8119.400000000001
655,4,2,89.36,7314.4000000000015
660,3,2,89.49000000000001,7387.4000000000015
665,2,2,90.28999999999999,7747.400000000001
670,2,2,89.49000000000001,7387.4000000000015
675,2,2,90.28999999999999,7747.400000000001
680,3,2,89.89,7586.400000000001
685,3,5,91.19,8097.400000000001
690,1,2,90.11999999999999,7610.400000000001
695,1,2,91.19,8097.400000000001
700,2,2,90.64,7851.400000000001
705,1,2,90.64,7837.400000000001
710,1,2,90.64,7851.400000000001
715,1,2,90.64,7837.400000000001
720,3,5,90.35,7787.400000000001
725,5,9,90.71,7829.400000000001
730,3,5,89.62,7343.400000000001
735,1,3,88.83,6876.4000000000015
740,5,8,90.66,7784.400000000001
745,4,6,90.1,7558.400000000001
750,2,6,90.59,7754.400000000001
755,4,6,90.07,7504.400000000001
760,4,3,90.43,7778.400000000001
765,6,10,90.44,7768.400000000001
770,3,3,89.89,7550.400000000001
775,3,6,90.42,7776.400000000001
780,2,5,90.02,7511.4000000000015
785,2,1,90.06,7533.4000000000015
790,0,0,90.06,7533.4000000000015
795,2,4,89.27,7225.400000000001
800,3,5,89.75,7477.4000000000015
805,3,6,90.91,7960.400000000001
810,4,12,89.46000000000001,7312.400000000001
815,3,7,90.85,7898.400000000001
820,2,9,90.53,7849.400000000001
825,4,11,89.99,7449.4000000000015
830,4,7,91.05,8031.4
835,1,6,90.06,7472.4000000000015
840,3,5,89.63,7379.4000000000015
845,4,8,89.38,7141.400000000001
850,4,8,89.69,7492.4000000000015
855,4,8,90.98,7994.4
860,3,10,89.95,7627.4000000000015
865,2,9,89.25999999999999,7075.400000000001
870,4,7,90.41000000000001,7841.400000000001
875,3,8,89.44,7204.4000000000015
880,1,5,89.61999999999999,7430.4000000000015
885,3,6,90.31,7596.400000000001
890,4,6,89.06,7183.4000000000015
895,2,5,89.44,7210.4000000000015
900,2,5,89.38,7310.400000000001
905,2,5,89.44,7210.4000000000015
