episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,420,280,94.38,11988.600000000006
210,0,201,94.63000000000001,11959.600000000004
215,0,205,93.47,11198.600000000006
220,0,218,93.81,11129.60000000001
225,0,204,95.08,12470.600000000006
230,0,190,93.6,11387.600000000004
235,0,199,91.39,9438.600000000006
240,0,188,94.95,11902.600000000006
245,0,169,95.11000000000001,12702.600000000004
250,0,171,93.0,10334.600000000006
255,0,174,93.19,11335.60000000001
260,0,175,93.08,10477.600000000008
265,0,155,92.85,10495.600000000006
270,0,159,94.78,11865.600000000006
275,0,146,92.48,10793.600000000006
280,0,153,94.33,12766.600000000006
285,0,139,93.00999999999999,11323.600000000006
290,0,125,95.07000000000001,12046.600000000004
295,0,127,92.47,10320.600000000006
300,0,108,92.11,10296.600000000006
305,0,111,94.04,11685.600000000006
310,0,113,93.1,10885.600000000006
315,0,118,93.32000000000001,11554.600000000002
320,0,103,92.89999999999999,11075.60000000001
325,0,102,92.23,10710.600000000004
330,0,75,92.08,10717.600000000011
335,0,72,92.78,11173.600000000008
340,0,78,93.38,11103.600000000008
345,0,95,92.83,11028.600000000006
350,0,79,93.47,11555.600000000004
355,0,77,95.22999999999999,12502.600000000006
360,0,46,94.19,11785.600000000004
365,0,63,93.56,11077.600000000006
370,0,62,91.52999999999999,9870.600000000008
375,0,53,91.55,9945.600000000008
380,0,74,91.56,9768.600000000006
385,0,59,92.21,10237.600000000006
390,0,51,92.72,11061.60000000001
395,0,34,93.49,11070.600000000004
400,0,33,92.48,10529.600000000006
405,0,24,91.8,10277.600000000006
410,0,19,91.53,10044.600000000006
415,0,17,91.75,9995.600000000004
420,0,23,92.0,10192.600000000004
425,0,28,92.96,11105.60000000001
430,0,19,92.16,10509.60000000001
435,0,10,92.86999999999999,10967.60000000001
440,0,14,92.02000000000001,10325.600000000006
445,0,13,92.73,10870.600000000006
450,0,9,93.50999999999999,11423.600000000004
455,0,6,91.8,10180.600000000008
460,0,11,93.18,11145.600000000004
465,0,14,92.89999999999999,10924.60000000001
470,0,10,92.96,11034.600000000006
475,0,15,92.28,10473.60000000001
480,0,11,91.24000000000001,9797.600000000006
485,0,4,91.94999999999999,10232.600000000008
490,0,3,91.62,10070.600000000008
495,0,8,91.48,10088.600000000008
500,0,8,91.62,10070.600000000008
505,0,1,92.54,10748.60000000001
510,0,1,91.62,10070.600000000008
515,0,1,91.69,10133.600000000008
520,0,1,91.62,10070.600000000008
525,0,14,92.91999999999999,10697.600000000006
530,0,14,91.62,10070.600000000008
535,0,6,92.93,11063.60000000001
540,0,23,93.03,10879.600000000008
545,0,17,91.62,10070.600000000008
550,0,0,91.62,10070.600000000008
555,0,0,91.62,10070.600000000008
560,0,0,91.62,10070.600000000008
565,0,4,92.74,10806.60000000001
570,0,7,92.23,10389.600000000006
575,0,3,91.62,10070.600000000008
580,0,0,91.62,10070.600000000008
585,0,1,92.1,10422.600000000004
590,0,1,91.62,10070.600000000008
595,0,0,91.62,10070.600000000008
600,0,0,91.62,10070.600000000008
605,0,0,91.62,10070.600000000008
610,0,9,92.84,10949.600000000006
615,0,9,90.93,9513.600000000006
620,0,1,91.62,10070.600000000008
625,0,0,91.62,10070.600000000008
630,0,0,91.62,10070.600000000008
635,0,0,91.62,10070.600000000008
640,0,1,91.86,10230.600000000008
645,0,1,91.62,10070.600000000008
650,0,0,91.62,10070.600000000008
655,0,0,91.62,10070.600000000008
660,0,0,91.62,10070.600000000008
665,0,0,91.62,10070.600000000008
670,0,0,91.62,10070.600000000008
675,0,0,91.62,10070.600000000008
