episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,560,140,91.03999999999999,7187.700000000002
210,0,103,89.29,5045.700000000001
215,0,94,90.21,5403.700000000001
220,0,97,90.69000000000001,6049.700000000002
225,0,96,91.07000000000001,5922.700000000002
230,0,107,89.08999999999999,4899.7
235,0,86,91.66,6672.700000000002
240,0,83,90.15,5792.700000000002
245,0,84,88.95,5299.700000000001
250,0,80,89.67,5718.700000000002
255,0,69,90.05000000000001,5745.700000000002
260,0,73,89.97,5818.700000000002
265,0,67,88.82000000000001,5366.700000000002
270,0,65,89.80999999999999,5975.7
275,0,62,91.0,6509.700000000002
280,0,45,90.36,5896.700000000002
285,0,51,89.84,5714.700000000003
290,0,54,89.51,5320.7
295,0,57,89.1,4514.699999999999
300,0,61,90.19,5981.700000000002
305,0,44,89.09,5509.700000000001
310,0,44,88.16,4417.699999999999
315,0,46,88.45,4451.699999999999
320,0,41,89.1,5097.700000000002
325,0,24,89.22,5242.700000000001
330,0,39,88.98,4891.700000000002
335,0,29,88.66,4808.700000000001
340,0,15,88.38,4587.7
345,0,28,89.78,5463.700000000002
350,0,34,89.64,5414.700000000001
355,0,32,90.25999999999999,6031.700000000002
360,0,32,89.2,5181.700000000001
365,0,19,89.50999999999999,5573.700000000001
370,0,29,89.78,5467.700000000002
375,0,31,88.81,4989.700000000001
380,0,24,88.60000000000001,4756.7
385,0,17,88.66,4798.700000000001
390,0,8,88.84,4812.700000000001
395,0,9,88.52,4718.700000000001
400,0,5,89.64,5383.700000000002
405,0,15,88.89999999999999,5022.700000000001
410,0,18,89.69,5492.700000000002
415,0,7,88.68,4844.700000000001
420,0,12,89.37,5361.700000000001
425,0,18,89.41999999999999,5169.700000000001
430,0,17,88.81,4889.700000000001
435,0,10,88.44,4655.7
440,0,0,88.44,4655.7
445,0,6,89.66,5397.700000000002
450,0,7,88.81,4851.700000000001
455,0,2,88.44,4655.7
460,0,5,89.31,5261.700000000002
465,0,14,89.13,5270.700000000002
470,0,12,88.22,4454.7
475,0,3,88.44,4655.7
480,0,0,88.44,4655.7
485,0,1,88.74,4871.7
490,0,1,88.44,4655.7
495,0,0,88.44,4655.7
500,0,3,89.46000000000001,5286.700000000001
505,0,7,89.05,5077.700000000002
510,0,5,88.64,4792.700000000001
515,0,2,88.65,4826.700000000001
520,0,1,88.44,4655.7
525,0,0,88.44,4655.7
530,0,3,88.82,4897.700000000001
535,0,3,88.44,4655.7
540,0,2,88.26,4365.699999999999
545,0,3,90.16,5789.700000000001
550,0,1,88.44,4655.7
555,0,5,88.42,4538.7
560,0,9,88.6,4814.7
565,0,4,88.44,4655.7
570,0,0,88.44,4655.7
575,0,0,88.44,4655.7
580,0,0,88.44,4655.7
585,0,0,88.44,4655.7
590,0,0,88.44,4655.7
595,0,0,88.44,4655.7
600,0,0,88.44,4655.7
605,0,0,88.44,4655.7
610,0,0,88.44,4655.7
615,0,0,88.44,4655.7
620,0,0,88.44,4655.7
625,0,0,88.44,4655.7
630,0,0,88.44,4655.7
635,0,0,88.44,4655.7
640,0,0,88.44,4655.7
645,0,0,88.44,4655.7
650,0,0,88.44,4655.7
655,0,0,88.44,4655.7
660,0,0,88.44,4655.7
665,0,0,88.44,4655.7
670,0,0,88.44,4655.7
675,0,0,88.44,4655.7
680,0,0,88.44,4655.7
685,0,0,88.44,4655.7
690,0,1,88.74,4871.7
695,0,1,88.44,4655.7
700,0,0,88.44,4655.7
705,0,0,88.44,4655.7
710,0,0,88.44,4655.7
715,0,0,88.44,4655.7
720,0,0,88.44,4655.7
725,0,0,88.44,4655.7
730,0,0,88.44,4655.7
735,0,0,88.44,4655.7
740,0,0,88.44,4655.7
745,0,0,88.44,4655.7
750,0,0,88.44,4655.7
755,0,0,88.44,4655.7
760,0,0,88.44,4655.7
765,0,0,88.44,4655.7
770,0,0,88.44,4655.7
775,0,0,88.44,4655.7
780,0,0,88.44,4655.7
785,0,0,88.44,4655.7
790,0,0,88.44,4655.7
795,0,0,88.44,4655.7
800,0,0,88.44,4655.7
805,0,0,88.44,4655.7
810,0,0,88.44,4655.7
815,0,0,88.44,4655.7
820,0,0,88.44,4655.7
825,0,0,88.44,4655.7
830,0,0,88.44,4655.7
835,0,0,88.44,4655.7
840,0,0,88.44,4655.7
845,0,0,88.44,4655.7
850,0,0,88.44,4655.7
855,0,0,88.44,4655.7
860,0,0,88.44,4655.7
865,0,0,88.44,4655.7
870,0,0,88.44,4655.7
875,0,0,88.44,4655.7
880,0,0,88.44,4655.7
885,0,0,88.44,4655.7
890,0,0,88.44,4655.7
895,0,0,88.44,4655.7
900,0,0,88.44,4655.7
905,0,0,88.44,4655.7
910,0,0,88.44,4655.7
915,0,0,88.44,4655.7
920,0,0,88.44,4655.7
925,0,0,88.44,4655.7
930,0,0,88.44,4655.7
935,0,0,88.44,4655.7
940,0,0,88.44,4655.7
945,0,0,88.44,4655.7
