episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,414,621,97.12,25517.99999999998
210,0,458,97.25,24329.999999999996
215,0,457,98.59,26178.99999999997
220,0,436,98.88,26803.999999999978
225,0,447,96.11999999999999,24253.99999999999
230,0,465,97.54,25417.999999999996
235,0,412,99.35,27108.999999999967
240,0,424,94.67,22434.999999999993
245,0,416,96.13,25451.99999999999
250,0,407,97.08,26190.999999999985
255,0,396,95.93,23214.99999999999
260,0,367,96.71000000000001,23789.999999999996
265,0,382,98.75999999999999,27582.99999999998
270,0,377,95.8,23091.999999999996
275,0,372,97.69,25172.99999999998
280,0,349,95.4,22817.99999999999
285,0,327,99.07000000000001,26870.999999999978
290,0,301,96.18,23252.999999999996
295,0,285,97.47,25310.99999999999
300,0,312,97.71,26448.999999999985
305,0,276,96.72999999999999,24042.999999999993
310,0,239,97.91,25622.999999999978
315,0,261,96.96,25836.999999999985
320,0,259,97.55,25143.999999999975
325,0,253,96.84,24651.999999999993
330,0,209,97.29,24843.999999999993
335,0,228,96.58,24902.999999999978
340,0,218,97.27999999999999,25250.99999999999
345,0,156,95.94,23877.999999999993
350,0,165,95.7,23008.999999999993
355,0,171,96.81,25279.99999999999
360,0,182,96.42999999999999,24282.999999999993
365,0,179,95.35,23747.999999999993
370,0,167,97.25999999999999,25002.999999999993
375,0,146,97.78,26062.999999999993
380,0,144,97.07,25288.999999999985
385,0,88,97.03,25007.99999999999
390,0,79,96.4,24390.999999999996
395,0,93,96.00999999999999,24323.999999999993
400,0,87,96.84,25095.99999999999
405,0,78,97.89,26228.99999999998
410,0,108,96.1,23793.999999999993
415,0,106,96.47,24243.999999999993
420,0,81,95.73,24069.999999999996
425,0,83,97.56,25947.999999999985
430,0,60,97.38,25838.999999999978
435,0,105,96.24,24928.999999999993
440,0,94,97.19,25232.999999999985
445,0,48,97.51,25875.999999999978
450,0,31,98.06,26640.999999999978
455,0,35,97.71,25762.999999999975
460,0,30,96.86,25132.999999999993
465,0,20,96.92999999999999,25278.999999999993
470,0,47,98.50999999999999,26960.999999999985
475,0,40,98.3,26518.99999999999
480,0,55,97.15,25748.999999999978
485,0,53,98.21000000000001,26502.999999999978
490,0,2,97.77,26031.999999999985
495,0,9,95.91,24143.99999999999
500,0,12,96.63,24867.99999999999
505,0,28,97.06,25590.999999999993
510,0,19,96.15,24424.999999999996
515,0,24,97.72,26038.999999999993
520,0,9,98.09,26379.999999999978
525,0,0,98.09,26379.999999999978
530,0,4,96.83,25124.999999999993
535,0,4,98.09,26379.999999999978
540,0,2,97.75,26010.999999999985
545,0,7,96.77000000000001,25037.999999999993
550,0,6,97.89999999999999,26154.999999999985
555,0,11,96.78999999999999,25121.999999999993
560,0,10,98.09,26379.999999999978
565,0,10,98.72,27054.999999999975
570,0,12,96.76,25020.99999999999
575,0,26,97.11,25517.99999999999
580,0,24,98.09,26379.999999999978
585,0,3,96.97,25243.99999999999
590,0,6,96.86,25146.999999999993
595,0,3,98.09,26379.999999999978
600,0,1,98.10000000000001,26381.999999999985
605,0,1,98.09,26379.999999999978
610,0,0,98.09,26379.999999999978
615,0,0,98.09,26379.999999999978
