episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,93.47,16365.000000000007
210,55,300,92.75999999999999,15649.00000000001
215,50,315,94.61,17612.00000000001
220,48,310,93.75,15974.000000000005
225,47,318,93.33,15989.000000000011
230,48,287,91.81,15090.000000000011
235,34,313,92.49,15695.000000000013
240,33,306,93.1,16021.000000000011
245,26,321,93.33,15104.000000000013
250,25,309,93.53,16590.000000000007
255,29,310,94.08,16079.000000000011
260,21,319,91.85,14128.000000000007
265,18,311,93.17,15991.000000000011
270,19,313,93.8,16215.000000000011
275,20,322,92.58,14643.00000000001
280,10,311,94.22,16981.00000000001
285,12,315,91.87,15189.000000000007
290,9,302,93.31,15909.00000000001
295,9,326,91.58,13690.000000000005
300,7,322,92.16,13855.000000000005
305,9,296,94.11,16652.000000000007
310,13,319,92.5,14612.000000000005
315,13,310,91.8,14194.00000000001
320,18,300,91.89999999999999,13226.000000000007
325,8,312,93.26,15590.00000000001
330,12,295,93.12,14779.00000000001
335,13,309,93.01,15540.000000000013
340,12,304,92.54,14115.000000000007
345,13,319,93.63000000000001,14864.000000000007
350,13,308,93.05,15163.000000000011
355,17,313,92.91,15218.000000000011
360,12,311,91.1,13437.000000000007
365,6,300,94.24,17016.000000000004
370,9,300,92.64,15107.000000000011
375,8,311,92.36,13692.000000000007
380,9,296,93.72,16123.000000000011
385,12,305,92.88000000000001,15794.000000000013
390,13,320,93.01,14946.000000000007
395,5,310,93.6,16357.000000000013
400,8,323,94.5,15859.000000000011
405,9,316,94.8,17344.00000000001
410,8,309,93.50999999999999,15658.00000000001
415,9,311,93.3,15951.000000000011
420,10,297,92.65,14582.000000000005
425,7,327,93.2,15530.00000000001
430,8,293,93.35,14827.000000000007
435,6,308,93.78,15700.000000000013
440,5,312,93.74,15802.000000000013
445,11,315,92.42,14421.000000000004
450,6,308,94.28,16117.00000000001
455,5,321,93.1,14399.000000000007
460,6,292,93.06,15364.000000000011
465,6,319,92.05,14115.000000000011
470,5,324,93.03,14882.000000000011
475,5,298,92.66,14316.000000000007
480,4,304,93.01,14998.000000000005
485,9,339,91.74000000000001,12876.000000000007
490,8,315,93.45,15825.000000000013
495,2,321,93.12,14976.000000000007
500,3,308,92.01,13658.000000000005
505,5,315,92.17,14363.000000000007
510,7,306,94.08,16367.000000000013
515,1,307,93.03,14989.000000000013
520,4,288,93.0,15547.000000000013
525,2,308,93.39,14473.000000000007
530,3,300,93.27,14324.000000000007
535,3,298,93.32000000000001,15558.00000000001
540,3,311,92.56,14481.000000000007
545,3,302,92.12,13292.000000000004
550,4,325,93.03,15407.000000000011
555,7,315,95.19,16761.00000000001
560,1,314,92.39,14063.000000000007
565,3,311,92.23,14329.000000000007
570,2,310,93.68,16587.00000000001
575,4,313,93.48,14916.000000000011
580,10,308,92.08,14305.00000000001
585,9,314,93.14999999999999,15240.00000000001
590,6,312,94.01,16330.000000000013
595,4,305,93.33,16342.00000000001
600,4,308,93.46,15102.000000000011
