travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
8.05,0,Human,0,0,0,5,-8.05,"-8.049645906007845,-8.068003850745692,-8.181610362714293,-8.256462206246812"
4.25,1,Human,1,1,1,5,-4.25,"-4.255131559771622,-4.241090277509498,-4.241910925892552,-4.311705095670838"
0.6333333333333333,2,Human,0,2,2,11,-0.6333333333333333,"-0.6334474261612911,-1.310544909108352,-3.4010860355661343,-6.968603352067967"
3.1333333333333333,3,Human,3,0,3,11,-3.1333333333333333,"-3.139810299226367,-3.194060007502523,-3.17006829789356,-3.1329178932332704"
3.0833333333333335,4,Human,0,3,3,11,-3.0833333333333335,"-3.0929164763222063,-3.135037834041958,-3.1329341401907085,-3.16737295732692"
5.45,5,Human,1,4,3,12,-5.45,"-5.444034351185741,-5.435047954150067,-5.444485343090819,-5.468156352109855"
2.533333333333333,6,Human,2,4,4,13,-2.533333333333333,"-2.54967530262937,-2.608908923052675,-2.540819706500914,-2.6460978615056114"
5.283333333333333,7,Human,1,4,3,15,-5.283333333333333,"-5.311516115861055,-5.283422798601983,-5.303286162979404,-5.3149634486706505"
5.433333333333334,8,Human,1,4,3,17,-5.433333333333334,"-5.630567995506958,-5.4248499429451185,-5.640390129669766,-5.46250454460608"
2.4833333333333334,9,Human,0,5,2,25,-2.4833333333333334,"-2.4833326184502336,-2.485617262357174,-2.605374817835558,-2.5468179160850815"
5.116666666666666,10,Human,1,4,3,26,-5.116666666666666,"-5.249688659032897,-5.154714971883462,-5.217174423724254,-5.218402789656521"
5.2,11,Human,1,4,3,28,-5.2,"-5.220498662173625,-5.179505512496364,-5.221532029655318,-5.203319388547891"
2.8666666666666667,12,Human,3,0,3,30,-2.8666666666666667,"-2.881238865244793,-2.9917063985250394,-3.005779227656692,-2.8735416157781715"
4.566666666666666,13,Human,0,6,5,31,-4.566666666666666,"-4.567577884482302,-4.676269834413247,-4.711897358893557,-4.817212191024717"
4.25,14,Human,1,1,1,33,-4.25,"-4.271368701104956,-4.2515329745920525,-4.256944360047388,-4.255868913880744"
4.983333333333333,15,Human,1,4,3,37,-4.983333333333333,"-5.161329994383698,-5.0060679440476346,-5.041195463003099,-5.178525877939414"
0.85,16,Human,0,7,6,39,-0.85,"-0.8518348934761275,-1.050407967362611,-1.9828099562359145,-1.7689318636021725"
1.7,17,Human,0,8,7,55,-1.7,"-1.6991274473660638,-1.8513539313493577,-1.7557796302106157,-2.4700871133190496"
1.9,18,Human,0,9,8,56,-1.9,"-1.907178304505135,-2.2914863789314124,-1.9407669544709805,-2.02419510611813"
4.116666666666666,19,Human,0,8,9,57,-4.116666666666666,"-4.117396040386362,-4.16884436333612,-4.184594225468446,-4.1373597328209915"
4.616666666666666,20,Human,1,4,3,57,-4.616666666666666,"-4.792599995506958,-4.620448444417914,-4.690160796336434,-4.76380054460608"
2.783333333333333,21,Human,0,10,5,58,-2.783333333333333,"-2.7792060806774073,-2.9592442633842597,-2.946266249509163,-2.903857460277128"
3.25,22,Human,1,11,4,60,-3.25,"-3.2561888991445866,-3.252486213539323,-3.5085112125011575,-3.2544036550207434"
4.1,23,Human,0,7,9,61,-4.1,"-4.100681958697901,-4.107146143116871,-4.103541310522794,-4.242111014274059"
4.2,24,Human,1,12,10,69,-4.2,"-4.447673032869584,-4.190964803928752,-4.613613827758659,-4.475041361363735"
2.8333333333333335,25,Human,1,11,3,72,-2.8333333333333335,"-3.0028407475301133,-2.8333673854118544,-3.0853057565718864,-2.9147564857476467"
2.4,26,Human,0,13,11,72,-2.4,"-2.4027366302038864,-2.477549441662914,-2.4503586522655145,-2.4677665635893526"
4.4,27,Human,1,11,3,73,-4.4,"-4.542336903521669,-4.389615005967927,-4.445552990313476,-4.456177657533166"
4.333333333333333,28,Human,1,11,3,75,-4.333333333333333,"-4.368402681269761,-4.312134870378442,-4.324153380467291,-4.344240754790314"
3.9166666666666665,29,Human,2,11,2,77,-3.9166666666666665,"-4.2362850971922255,-4.212411826733287,-4.0928284910148385,-4.39063821539559"
4.416666666666667,30,Human,1,4,3,77,-4.416666666666667,"-4.513329994383697,-4.438491612050338,-4.503951244275676,-4.509090680757599"
4.45,31,Human,1,11,3,79,-4.45,"-4.492978041269761,-4.453796723303828,-4.4946404204672925,-4.473750923228903"
1.4166666666666667,32,Human,1,0,12,80,-1.4166666666666667,"-1.5824550054556061,-1.4166876931078576,-1.7353931820616333,-1.713404386543426"
4.4,33,Human,1,4,3,81,-4.4,"-4.4306624929796214,-4.385328527579961,-4.552760995420542,-4.388230017613665"
3.4,34,Human,2,13,4,82,-3.4,"-3.466748600433694,-3.4475044227626253,-3.4044531040683252,-3.509708835931781"
2.2666666666666666,35,Human,0,14,3,82,-2.2666666666666666,"-2.287670834063043,-2.3285451593504756,-2.329819820377082,-2.4998095825803324"
4.366666666666666,36,Human,1,11,3,82,-4.366666666666666,"-4.419243570188335,-4.380690472344957,-4.417676547364806,-4.415790071916457"
5.1,37,Human,1,0,2,82,-5.1,"-5.253051168959078,-5.1216893041537315,-5.261722810619106,-5.379111555627856"
4.25,38,Human,1,4,3,83,-4.25,"-4.314370662173625,-4.2674064358043236,-4.354734328753875,-4.349224014090932"
4.35,39,Human,1,4,3,86,-4.35,"-4.408395826312955,-4.336265518379958,-4.432751244275677,-4.387296684280332"
1.95,40,Human,3,0,3,88,-1.95,"-2.226049399443728,-2.2557912476953743,-2.277780043213581,-1.9502738341668397"
4.316666666666666,41,Human,1,11,3,89,-4.316666666666666,"-4.592203570188335,-4.324057399929066,-4.370609880698139,-4.602097589895569"
4.283333333333333,42,Human,1,11,3,91,-4.283333333333333,"-4.312121129402085,-4.28722673787847,-4.366076547364806,-4.315288654036129"
6.55,43,Human,2,11,2,92,-6.55,"-6.5305837790032815,-6.681178620620778,-6.534193924685285,-6.544095214055195"
4.116666666666666,44,Human,1,4,3,93,-4.116666666666666,"-4.180663327717031,-4.122386153259917,-4.3873234630031,-4.172701877939413"
4.266666666666667,45,Human,1,11,3,94,-4.266666666666667,"-4.305721129402086,-4.266644529744423,-4.356876547364807,-4.280755320702795"
5.816666666666666,46,Human,3,11,13,96,-5.816666666666666,"-5.7977691915181575,-5.840178681511331,-5.819331761946732,-5.777109324628702"
1.15,47,Human,0,15,1,101,-1.15,"-1.1475403849689616,-1.2982083892364769,-2.5921691175285866,-1.3116600672562104"
2.7,48,Human,2,4,4,101,-2.7,"-2.72442980153198,-2.9561671384421406,-2.6998818535472418,-3.2688782892044896"
5.3,49,Human,1,4,3,105,-5.3,"-5.364124712826318,-5.296489097799945,-5.3205724397242555,-5.310185995607374"
0.9666666666666667,50,Human,0,16,5,106,-0.9666666666666667,"-0.9631207390233804,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
5.25,51,Human,1,4,3,109,-5.25,"-5.413437863072233,-5.248978582018988,-5.268004490446071,-5.272750538890573"
1.6833333333333333,52,Human,0,0,12,112,-1.6833333333333333,"-1.6827736835005522,-1.7288926843768466,-1.7353931820616333,-1.713404386543426"
4.966666666666667,53,Human,0,17,5,119,-4.966666666666667,"-4.953355240284471,-4.950494797205448,-4.95494848874772,-4.950833902201688"
4.533333333333333,54,Human,0,7,10,125,-4.533333333333333,"-4.611173014550064,-4.865748438396783,-4.707308589711166,-4.711755067976218"
4.383333333333334,55,Human,0,18,2,127,-4.383333333333334,"-4.374661077839686,-4.405222663190413,-4.4656535239314445,-4.410951998549399"
3.7666666666666666,56,Human,3,7,4,128,-3.7666666666666666,"-3.760053268858057,-3.7638646219931315,-3.763592410397637,-3.7599983012879825"
4.383333333333334,57,Human,3,1,1,129,-4.383333333333334,"-5.030295440920505,-5.06279214152819,-5.038326980294451,-4.458771967400716"
4.133333333333334,58,Human,0,7,10,131,-4.133333333333334,"-4.127129541190759,-4.153080310046318,-4.198530403805625,-4.390913834970272"
3.95,59,Human,2,1,1,132,-3.95,"-4.561209895771623,-4.572202622222258,-3.997203859964418,-4.666372909855215"
4.883333333333334,60,Human,1,4,3,133,-4.883333333333334,"-4.955906662173625,-4.900758812481908,-5.058014328753874,-5.093038428547891"
5.25,61,Human,1,1,1,134,-5.25,"-5.188826697431621,-5.197424677807928,-5.194776709050323,-5.1958382101129805"
0.65,62,Human,0,16,5,135,-0.65,"-0.6524198470230318,-1.694644092338159,-1.0860939048045422,-1.2390377173187488"
4.5,63,Human,0,7,10,136,-4.5,"-4.411591852446072,-4.541262878743715,-4.455888856377834,-4.5992004013095515"
5.033333333333333,64,Human,3,1,1,136,-5.033333333333333,"-4.882716202031879,-4.918524096942724,-4.869946015111617,-4.897612977327584"
4.316666666666666,65,Human,2,7,9,139,-4.316666666666666,"-4.329276519151542,-4.403128170954798,-4.314241920291366,-4.411740454274058"
2.85,66,Human,0,19,12,140,-2.85,"-2.8393165155168667,-2.9782067441807536,-2.850042752247048,-2.943516227974271"
2.8666666666666667,67,Human,1,20,3,141,-2.8666666666666667,"-2.8606861729315223,-2.861369262252609,-3.2576528477481705,-2.933608487311411"
3.6,68,Human,3,7,4,141,-3.6,"-3.593586248317152,-3.5925626119519998,-3.5935101062791834,-3.593703313422022"
4.383333333333334,69,Human,0,8,9,142,-4.383333333333334,"-4.363125922693526,-4.6234754541701495,-4.613209448502223,-4.416686332692906"
0.75,70,Human,0,13,14,149,-0.75,"-0.749999213858758,-1.550674985616997,-1.550975105665016,-1.713744489876584"
4.233333333333333,71,Human,0,8,9,149,-4.233333333333333,"-4.233565622049765,-4.252544317712687,-4.301345143961113,-4.242057915866131"
2.5166666666666666,72,Human,1,8,15,150,-2.5166666666666666,"-2.5853417142867325,-2.4866243520091063,-2.6630878528517243,-2.5063019012145524"
5.983333333333333,73,Human,0,4,16,152,-5.983333333333333,"-5.9912005505061465,-6.035145499430008,-6.106384591023906,-6.03574621572202"
4.55,74,Human,1,4,3,154,-4.55,"-4.800162662173625,-4.55787019055421,-4.642574328753875,-4.606579308171646"
4.933333333333334,75,Human,2,13,4,154,-4.933333333333334,"-4.949868342071872,-4.955330236877048,-4.922828444761622,-4.944737191888497"
4.55,76,Human,1,4,3,155,-4.55,"-4.5405448504577866,-4.515045363635461,-4.52667858585019,-4.575165877939414"
3.966666666666667,77,Human,2,21,17,158,-3.966666666666667,"-4.0164063502871565,-4.229851956162145,-3.951906291202557,-4.0418834639979755"
4.016666666666667,78,Human,0,22,9,160,-4.016666666666667,"-4.049496995388268,-4.088238593548165,-4.070940393028041,-4.142968471130311"
2.566666666666667,79,Human,0,4,18,160,-2.566666666666667,"-2.5777059764936237,-4.891784827263223,-3.1181637241457145,-2.6456939974782796"
5.983333333333333,80,Human,1,11,3,164,-5.983333333333333,"-6.042237522817335,-5.972725866488361,-6.085696990313476,-6.071134071916456"
4.266666666666667,81,Human,1,11,3,166,-4.266666666666667,"-4.634546856150669,-4.310346708776638,-4.412571656980143,-4.474822990866499"
1.9,82,Human,0,23,2,167,-1.9,"-1.9321098052460277,-1.9485211194862146,-1.9667873617640004,-1.963494795721601"
4.4,83,Human,1,11,3,169,-4.4,"-5.491931214603095,-5.152006242783834,-5.558594553800625,-5.4314135926931995"
5.7,84,Human,1,11,3,171,-5.7,"-5.366433401269762,-5.208145026816609,-5.304481028565735,-5.247740044390314"
4.633333333333334,85,Human,0,11,3,172,-4.633333333333334,"-4.710003747936428,-4.789822074449417,-4.965584260565734,-4.757585753190314"
2.85,86,Human,0,11,4,176,-2.85,"-2.8399407385111255,-2.8380639518498123,-3.028305682293113,-2.852575721068645"
5.616666666666666,87,Human,1,11,3,178,-5.616666666666666,"-5.294115747936428,-5.201027249406038,-5.2839371470405005,-5.259547171512251"
4.183333333333334,88,Human,1,11,3,179,-4.183333333333334,"-5.246379884920534,-4.587285149259893,-5.2065983236468085,-5.212022631486363"
4.166666666666667,89,Human,1,4,3,181,-4.166666666666667,"-4.412262492979622,-4.162230646996111,-4.443684577609011,-4.297296684280332"
4.183333333333334,90,Human,1,11,3,181,-4.183333333333334,"-5.009803884920535,-4.4799591864898956,-5.067611458917448,-4.996117924199831"
4.966666666666667,91,Human,1,0,2,181,-4.966666666666667,"-5.218400564373198,-4.972332407773423,-5.028272179940547,-5.261362657494522"
4.083333333333333,92,Human,1,4,3,183,-4.083333333333333,"-4.108615995506958,-4.078755844553525,-4.112867662087208,-4.110519578803983"
5.65,93,Human,1,4,3,186,-5.65,"-5.564317650457786,-5.519523847034084,-5.549840796336433,-5.565068721881225"
5.633333333333334,94,Human,1,4,3,188,-5.633333333333334,"-5.666358396405568,-5.6220525304064894,-5.7615634630031,-5.683091548547892"
2.1166666666666667,95,Human,0,24,19,189,-2.1166666666666667,"-2.0858104887410898,-2.2151032433131643,-2.187372674051622,-3.1657627485839543"
5.466666666666667,96,Human,1,4,3,189,-5.466666666666667,"-5.569757693699563,-5.514129089559222,-5.612295021057589,-5.590085308937318"
5.466666666666667,97,Human,1,4,3,191,-5.466666666666667,"-5.612310396405567,-5.4936456726823115,-5.6090034630031,-5.538039601881224"
5.383333333333334,98,Human,1,4,3,192,-5.383333333333334,"-5.541610663072234,-5.4399853008951045,-5.6481127963364335,-5.45619859350498"
5.883333333333334,99,Human,3,1,1,194,-5.883333333333334,"-5.874518141103919,-5.873742751046184,-5.877684263519235,-5.87517758340933"
5.383333333333334,100,Human,1,11,3,195,-5.383333333333334,"-5.43824140126976,-5.346431867801434,-5.391686820467292,-5.415330575032251"
3.45,101,Human,0,25,10,197,-3.45,"-3.453476648634668,-3.5103544497268384,-3.5449082052381486,-3.8828947432782814"
5.366666666666666,102,Human,1,4,3,199,-5.366666666666666,"-5.674898662173625,-5.405349831518388,-5.715803463003101,-5.6019658779394135"
